,authorName,count,reputation
762,everittdmickey,2696,195612.54184918254
208,barrydutton,1436,106361.37410972641
35,aggroed,863,62650.74609236443
1767,papa-pepper,757,58471.2804629573
642,doitvoluntarily,747,56471.11385807808
1299,knozaki2015,736,57231.25600052069
2570,wakeupnd,545,36286.85641221971
1414,luzcypher,514,37648.82010170949
1255,kaylinart,466,34485.726530109016
874,gardenofeden,415,30059.934320385168
2125,sirwinchester,402,30227.605331399278
2243,steemsports,385,30227.8579011338
2453,titusfrost,297,20855.81847874054
1274,kevinwong,252,18902.52090954782
716,elyaque,239,16812.706646795286
1284,kingscrown,236,17918.225207473715
1756,ozchartart,215,16346.18778836353
1216,jrcornel,202,15290.304910231915
2031,saramiller,196,13776.837930196694
710,electrowarrior,193,11155.078886315652
2384,thecryptofiend,184,13725.554849930762
2203,steemcleaners,184,14010.25226422102
2080,sgtreport,168,11252.634789702777
1701,nspart,166,11653.880507783391
521,curie,161,12119.48929434876
1315,kubbyelizabeth,157,9575.186644944639
1423,macksby,156,11454.187956644973
876,gavvet,153,11820.148973057243
2408,themagus,150,10149.601949603828
359,calaber24p,150,11080.855069245788
2252,steemvoter,148,10735.904305971402
431,clayop,141,10204.9567675296
763,everlove,135,9240.936956004469
1715,officialfuzzy,131,9740.759042127509
743,ericvancewalton,130,9807.807456764245
1541,minnowsupport,130,8760.587966301153
1735,ontofractal,111,7484.469225150945
980,hanshotfirst,109,8052.538551788724
644,dollarvigilante,99,7399.435954481981
365,canadian-coconut,94,6502.270969978954
912,gmuxx,92,5881.125621973383
180,ausbitbank,90,6488.878229320011
925,gomeravibz,81,5148.777805860007
2314,sweetsssj,77,5804.593164987939
1161,jesse2you,72,3693.996461627663
59,albertvhons,72,4303.394705729565
148,arcange,71,4901.421573610708
2347,teamsteem,68,4824.440456378794
367,candidfolly,65,3603.305975112576
1908,rebelskum,64,4179.471399252235
246,better,61,3828.7089148111877
515,cryptos,58,3884.300585066521
2254,stellabelle,57,4301.2604733176495
604,deveerei,52,3453.911248721814
2043,scaredycatguide,51,3471.8207594890782
1411,lukewearechange,50,3550.2593608074158
645,donkeypong,48,3530.283566095001
1228,justcallmemyth,48,2671.796908309968
1109,jacor,46,3252.87454497602
2315,swelker101,44,2627.2438215814905
1146,jeezzle,44,2827.0011052287264
436,clixmoney,42,2321.2616233822555
551,dantheman,42,3086.315843179474
1478,matrixdweller,41,1025.0
502,cryptohustler,41,2112.702562501683
196,b0y2k,40,2912.157725226307
2523,v4vapid,39,2721.5038535714943
1073,infovore,39,2812.9924187715073
391,cerebralace,38,2204.7089755597813
2140,slowwalker,38,2778.5784120669246
1038,hypexals-spiral,38,2298.466281931691
788,fatboyjames,38,2077.404622426942
2018,sammosk,38,2542.58890840753
2476,trafalgar,38,2553.9676663309506
178,ats-david,37,2735.5635106458762
1205,joseph,37,2714.012291132043
2449,tinashe,36,2110.01467231112
2484,tremendospercy,35,2240.550713897093
861,furion,34,2396.6973679284215
2667,zeartul,33,2290.136395977883
2464,tomekkk,33,1989.4294938560877
2122,sircork,32,1943.037267071008
1989,royalmacro,32,2209.912985996557
2446,timsaid,32,2333.8160312356094
429,clayboyn,32,2125.967070734398
1093,isaria,31,1977.0081569615388
2131,skeptic,30,1607.386695460556
973,halo,30,2150.25407461749
15,acidyo,30,2229.8571284758186
1091,isaac.rodebush,29,1576.5379452856182
475,crimsonclad,29,1740.120022656734
1944,rickyjrx,29,1812.3717300388073
927,good-karma,28,2083.1636069747733
2602,wilkinshui,28,1863.2912060541507
1669,netuoso,28,1911.2739299886475
1420,ma1neevent,28,1677.2011855829153
1399,lovejuice,28,1609.1840016743793
571,dber,28,1814.8099588508842
71,alexrickard86,28,1755.166322942285
830,fraenk,27,1601.0627972286798
824,followbtcnews,27,1736.9925998495298
1163,jesta,27,1912.3941384459
1222,judym,27,1345.726805771011
917,gohba.handcrafts,26,1615.2793094118304
1173,jimmyrai28,26,1443.212690233141
1296,klye,26,1880.3267812693732
2158,somethingsubtle,26,1436.300427712194
671,drpuffnstuff,25,1491.90094179852
864,fyrstikken,25,1839.3668595427819
2404,thelightreports,25,1597.4060083565025
792,fatpandadesign,24,1401.4185911221489
1759,pablito,24,1376.5896554306423
1446,manishmike10,24,1456.757880289529
2060,sebastianjago,24,1587.5911864554234
1309,krnel,24,1835.6807990598936
684,dwinblood,23,1678.1169208792276
2187,stackin,23,1580.0338948404642
2264,stevescoins,23,1547.4880851236094
1663,neoxian,23,1568.984976647041
1410,lukestokes,23,1675.3394067390261
564,davidpakman,22,1466.1898109997646
784,farmandadventure,22,1234.5458700694019
1405,lucashunter,22,1270.9175062321497
404,charlieshrem,22,1582.32019816869
630,discordiant,22,1309.47521124889
742,erickjongo,22,1198.996236172002
660,drakos,22,1387.8017533115988
699,ehiboss,22,1448.9361157712292
1510,mes,22,1323.1149248036916
2592,whatamidoing,21,1228.8211484542196
1943,richq11,21,1470.474514968991
1429,magick323,21,1151.3539159308018
460,condra,21,1407.6344026996262
83,alphacore,21,1219.925718945948
2132,skinnythames,21,1045.7155558904742
1936,rhondak,21,1296.0406418501843
1937,riaansteynberg,21,964.7816588770623
2157,someguy123,21,1425.460156609644
1635,nanosesame,20,1271.8539992467386
89,amazonpricecheck,20,996.31705927486
2380,theblindsquirl,20,1137.889762425771
2594,whatsup,20,1377.3383660985132
2529,vangelov,20,1211.1181544652825
417,choogirl,20,1220.3941293616963
1021,honeyscribe,20,1385.301425316147
9,abh12345,20,1326.4429201872292
909,globocop,20,1171.5705286116186
1200,jonny-clearwater,20,1261.4870068460675
2442,timcliff,19,1377.6965750140537
546,danielsaori,19,1126.8678647314039
826,fortified,19,1224.4717779001953
2007,sacred-agent,19,1044.5533047631016
54,alanfreestone,19,1214.175079181633
2256,stephcurry,19,976.8409437068639
965,guyverckw,19,1282.948923776466
2095,shellyduncan,19,1119.952840566052
1656,necrophagist,18,983.187227723693
948,gringalicious,18,1334.4909999820934
1726,oluwoleolaide,18,1164.8406986547848
1904,readmore,18,944.7592846401764
2279,stresskiller,18,1034.2953887667934
2318,swolesome,18,1019.828030318088
2412,themevlog,18,947.323486567389
1361,liberty-minded,18,1107.5122604267638
2409,themanualbot,18,1182.8199731961868
1358,lgfurmanczyk,18,1019.212267681079
1356,lexikon082,18,1132.019438573409
1140,jdawg,18,963.1548467999635
235,benjojo,18,1272.1498421079616
2025,sandstorm,18,1167.3271815190399
2344,team101,18,1067.8326380633778
1895,rangertx,17,948.0148725333844
383,cassidyandfranks,17,1051.6827305063084
2550,victorier,17,1101.3260165620077
1450,marcfrvncis,17,864.9167269647963
2554,vinnu,17,833.2599456266075
2558,vj1309,17,978.1995572763473
430,clayford08,17,955.4502774013595
1415,lvl,17,822.5418009639859
923,goldgoatsnguns,17,999.6562379591793
2048,scooter77,17,1073.2098657511237
573,dbzfan4awhile,17,979.131808679188
1355,lexiconical,17,1185.908293424363
1882,ragnartheking,16,830.558993463032
2543,venuspcs,16,1043.1713536564669
2436,thomasaquinasftw,16,887.7021399038526
2271,stormriderstudio,16,815.7533803187521
967,gyanibilli,16,943.1203829478484
1679,nicnas,16,975.0844738259623
670,droucil,16,984.9466009386624
2329,tamaralovelace,16,902.5406693234677
1364,lifeisawesome,16,1109.881204146027
368,cantribute,16,869.4137461583377
2526,vaibhavshah,16,908.8436043317713
354,bymma,16,887.191375386167
1657,ned,16,1103.4848180834258
1313,krystle,16,1082.6312412546908
1334,larkenrose,16,1103.0120265252976
542,dana-edwards,16,1179.7657895038915
880,gbenga,16,1014.3812080558534
2646,ygern,16,1023.2246691540854
108,andrarchy,16,1128.072178967498
159,arnob,16,1006.3047230221086
2571,wakeupsheeps,15,860.1068209342983
809,fisteganos,15,998.62014309452
1233,juvyjabian,15,1060.7934443999313
1974,rondonson,15,986.0494541643582
2226,steemitqa,15,912.759127516316
1706,o0pepper0o,15,831.0899820533929
1694,nolnocluap,15,974.260808728403
1967,roelandp,15,1073.5782039689598
1461,markwhittam,15,970.665320406421
2324,synesthesia,15,865.1471911042254
1655,necio,15,758.5879873865589
433,clevercreator,14,807.4498909156306
1339,lazariko12,14,928.8136056004247
1953,road2wisdom,14,886.7736075255282
903,gktown,14,828.6314460640494
2005,rymlen,14,890.3373318127855
2518,uruiamme,14,732.8625950318959
1213,journeyoflife,14,903.7747045254948
341,builderofcastles,14,844.6678771679501
2413,thenightflier,14,931.5822305098228
2636,xtetrahedron,14,867.5050505904242
2105,siddartha,13,755.6492418648984
2306,surprisebit,13,704.8589168657518
2417,theprophet0,13,866.0511124098922
803,fingersik,13,813.5498107957824
1883,rahul.stan,13,798.8439731310013
1966,rodeo670,13,766.3282887155615
1076,inquiringtimes,13,810.3428060142094
472,creativesoul,13,713.727508584413
2055,scrooger,13,770.4056920597429
1544,mione,13,789.3563838599557
2366,thatsweeneyguy,13,760.7905357453783
462,contentjunkie,13,912.3724607753035
1235,jznsamuel,13,814.15863259275
1224,juliakponsford,12,745.762904181893
1055,ilyastarar,12,712.8117595776038
1218,jrhughes,12,686.0729580373927
503,cryptohustlin,12,755.3356118132446
1991,rt395,12,692.4699344873857
304,bobskibob,12,654.9579528063332
2664,zappl,12,790.0439872317304
2540,velimir,12,853.0867586916431
428,claudiop63,12,793.6814081412165
