,authorName,count,reputation
630,cheetah,1134,82353.24090576758
2082,knozaki2015,811,63063.245402747656
3500,steemcleaners,640,48731.20008624208
1375,fubar-bdhr,500,33561.69305014237
240,anyx,420,28652.805104353116
2776,olegst,365,23290.564149213318
2828,ozchartart,303,23036.72046453093
346,b0y2k,292,21258.75139415204
2063,kingscrown,244,18525.462272937533
2057,kinakomochi,237,15276.561108631462
3054,raymondspeaks,235,15360.67058908115
3954,vannour,228,15852.057962718322
1919,joseph,220,16137.370379704042
2309,lukestokes,220,16024.98562967764
3337,shawnamawna,211,13399.417763565083
1880,jlufer,208,15178.500661469814
1628,homeartpictures,193,13955.526513393315
3429,soi-green,190,10916.458962608409
2101,kouhei-gahaku,188,12359.50774588447
4103,yadamaniart,184,12773.256685188471
1213,englishtchrivy,157,11199.57667240692
2493,merej99,146,10182.424973762196
266,armen,141,9582.109906649337
4131,yoshiko,137,8856.655855347539
315,ausbitbank,133,9589.120007584366
2016,kayoko,132,7977.929899048946
2130,kumada90,130,8612.00913575072
4116,yasu24,130,7661.8837351970915
253,arbitrarykitten,126,8153.579275694502
1391,future24,126,8991.02703210603
1109,drifter1,126,7799.290956346556
1257,exhige,124,7085.218923443539
3231,sammosk,123,8229.958723174233
2926,platinum-blue,117,7859.855702231841
2134,kuroneko,116,7057.0160044760705
2780,olga2772,111,7240.806571479566
3477,ssekulji,110,7478.875504185218
804,condra,110,7373.308529363168
2588,moromaro,108,6475.366940387648
1861,jgcastrillo19,106,7421.99959352048
3269,scan0017,105,6827.155546381579
1070,doitvoluntarily,103,7786.512352586403
1965,juvyjabian,100,7071.956295999543
297,asim,100,6023.017856029499
3928,ultraseven,99,5888.333046642446
1260,exploretraveler,99,7134.419667460069
2537,milaoz,98,6964.145903702858
554,buzzbeergeek,96,6704.639642189255
1153,edgarsart,95,6728.0537224885675
2856,patrice,94,6036.78195027318
3966,verbal-d,93,6527.119523444298
3398,skyleap,93,5809.943688453826
3864,toyman,91,5629.020220848775
3851,tonpa,90,4844.939789691918
1937,jsantana,90,6264.709080599615
1127,dumar022,89,6280.363462058223
3960,vcelier,89,6100.250473853493
2328,lyubovbar,88,6195.397635293094
2841,papa-pepper,86,6642.704494623201
3539,steemitpeace,86,5049.54080150219
1824,jeff-kubitz,86,5748.604743731498
2528,miho,85,5209.106007284319
3350,shortcut,85,5930.430652275429
1131,dwinblood,84,6128.774841471962
3629,sunshinetraveler,84,5056.02818245359
2581,moon32walker,84,5928.118679219367
3568,steemswede,84,5868.952186437
90,aleksandraz,81,4909.140126982166
2403,marinauzelac,81,5713.430032943695
1021,dexter-k,81,5420.818960026201
3116,richman,80,5639.4500560489
452,bkkshadow,80,5657.39573609728
2746,nspart,79,5546.1238561137825
1105,dreemit,79,5527.100045032172
2012,kawaiipower,79,4705.309903456292
1247,everittdmickey,79,5731.969447372704
2144,kyriacos,79,5609.009358902329
1513,gringalicious,78,5782.794321078687
120,alienbutt,78,5439.89229778737
751,chrissysworld,78,5378.720871932805
3036,randowhale,77,5103.353683450693
1715,internutter,77,5156.1643911430665
4029,webdeals,76,5186.288228755427
2148,l0k1,75,5234.350107744261
3577,steevc,75,5284.540477488836
2040,keuudeip,75,5249.403158374862
3548,steemizen,74,5151.318435359566
3349,shogo,74,4437.824956677392
787,cognoscere,73,4976.880610289703
2371,mandireiserra,73,4818.0188117738435
739,childcare,72,4154.97815378735
