,authorName,count,reputation
6040,papa-pepper,663,51210.64590084635
59,acidyo,649,48239.24257938659
671,ausbitbank,580,41817.21525561785
141,aggroed,492,35717.789525231245
8199,titusfrost,445,31248.617469871286
4218,kafkanarchy84,370,27330.51708432833
8449,ura-soul,357,24429.740582744467
4483,krnel,355,27152.77848609426
6644,richq11,341,23877.705219258376
2192,doitvoluntarily,337,25476.258862345803
2981,gardenofeden,337,24410.115434518677
8464,v4vapid,325,22679.198779762453
2313,dwinblood,282,20575.172682084445
6012,ozchartart,282,21440.116075900074
8524,verbal-d,280,19651.542651230142
4856,luzcypher,270,19776.617609976995
7122,shayne,269,18089.82807387793
6736,rok-sivante,265,19282.10044297369
7837,tarazkp,265,18463.4825087329
8168,timcliff,264,19142.73135809001
5191,merej99,264,18412.05611693986
4491,krystle,255,17254.435407496636
3101,gohba.handcrafts,253,15717.91020312281
1220,buzzbeergeek,247,17250.47907938277
1761,cryptopie,246,16891.028201956065
6401,quinneaker,245,17039.306227106328
4080,joshsigurdson,238,16526.34577682958
7340,son-of-satire,238,16483.758989621172
3737,jackmiller,225,13600.765727957236
5858,officialfuzzy,217,16135.455817875338
4423,klye,213,15404.21555424525
6014,ozmaster,210,14309.341433107958
6544,rebelskum,210,13713.890528796395
4841,lukewearechange,206,14627.068566526554
4432,knozaki2015,201,15629.731597968286
7000,scooter77,201,12689.128412704464
6306,pressfortruth,200,14179.40104649414
7358,soundlegion,197,13572.890401546892
2245,dragosroua,195,14234.437087997847
4840,lukestokes,194,14131.123998460725
1937,davidpakman,194,12929.130624706424
4395,kingscrown,191,14501.767063891619
5791,nolnocluap,187,12145.78474881409
7598,steemtrail,179,13207.361704754978
7625,stellabelle,178,13432.006434835088
4862,lyndsaybowes,177,11886.298502107478
2006,defango,175,10419.688778202548
2931,fyrstikken,172,12654.84399365434
1890,dantheman,166,12198.295951614113
5843,ocd,161,11271.947856978093
4527,l0k1,154,10747.865554568216
3614,instructor2121,152,10125.376686875385
2197,dollarvigilante,147,10987.041265745971
3583,inertia,142,10032.781174459993
7871,teamsteem,141,10003.619181608969
8231,tomekkk,141,8500.28965556692
3086,gmuxx,140,8949.538989959496
6893,sammosk,139,9300.52258601702
3666,isaria,138,8800.887286253035
6150,phelimint,136,8581.346475860877
7210,sirknight,136,8417.945418183175
7798,sylviamiller,136,7782.585965801167
1514,clayboyn,136,9035.360050621191
5787,noganoo,135,3375.0
3104,goldenarms,134,8521.02699552476
3258,hanshotfirst,133,9825.574563191745
2824,fortified,132,8506.856562253988
7933,tftproject,132,9281.53061845991
4497,kubbyelizabeth,131,7989.487037124539
3115,good-karma,130,9671.831032382877
1196,bulleth,129,8326.471642832006
4352,kevinwong,128,9601.28166979941
8373,tuck-fheman,128,9499.792574904855
5329,minnowsupport,126,8491.033813057782
811,bearone,124,7776.496768214388
2956,galenkp,121,7448.430684757968
1259,canadian-coconut,121,8369.94454646227
7306,snooway,120,7890.976321336738
3344,heroic15397,120,7443.731551921863
925,billybrujo,120,6703.001790575595
2427,elissahawke,119,7225.761485734027
5691,netuoso,119,8122.925203291686
4366,kiddarko,118,8011.876959750098
7947,thatsnumberwang,117,7154.898581773485
3371,hilarski,116,8548.768692622794
80,adamkokesh,116,7830.388112647569
8298,travelgirl,115,7629.574092058454
5778,nobutsd,112,6832.13601437525
1814,d-pend,112,7450.038261498465
4141,juliakponsford,111,6898.30686368251
7416,ssekulji,111,7546.865281495993
8936,yusaymon,111,6894.579390770309
2816,foovler,109,6353.492966361563
6143,pfunk,108,7837.396582460144
2376,ehiboss,107,7047.0983812509785
5706,nextgen622,107,7079.687382633117
1697,crowe,106,6346.448087724338
3606,inphiknit,106,6957.31252299121
3919,jesta,106,7507.917737126139
8041,thekitchenfairy,106,6231.271508624473
8279,traf,105,7163.109295026426
981,bkkshadow,103,7283.897010225249
5682,neoxian,103,7026.324025854141
1442,choogirl,101,6162.990353276567
4946,mammasitta,100,6882.863367661104
5501,msp-creativebot,99,6153.879683679782
7131,shellyduncan,98,5776.598861867004
4623,lenatramper,98,6399.373847543835
7634,stephen-somers,97,6093.577820916147
7994,thecryptofiend,97,7235.754458930891
7087,sgtreport,96,6430.077022687301
1730,cryptoctopus,96,7020.636566720742
8180,timsaid,96,7001.448093706828
1046,bmj,96,5568.684478221294
2445,elviento,95,5919.802010421907
7216,sirwinchester,94,7068.146520277443
2287,drwom,94,6244.447401964602
8584,virtualgrowth,92,6539.898296073425
3398,holoz0r,92,5679.15424711056
521,arbitrarykitten,92,5953.407090189637
2589,everlove,91,6229.076022195605
5837,o07,90,5093.779527053819
8518,velimir,90,6398.150702975528
8319,tremendospercy,90,5761.416121449667
406,andrianna,89,6150.408036499119
7334,someguy123,88,5973.356846745174
5495,msg768,88,5398.824757504572
1833,dailybitcoinnews,88,6126.848224534032
5095,mattclarke,87,5766.409807678899
8734,williambanks,87,6056.407116830502
7660,stevescoins,87,5853.541887206697
4776,lordvader,85,5893.926534102282
6727,roelandp,85,6083.609822490772
399,andrewgenaille,85,5147.617443740781
6247,poeticsnake,84,5746.203194154193
3573,inber,82,5753.6777751522895
3078,globocop,80,4686.282114446474
655,ats-david,79,5840.797765973628
4286,kaylinart,79,5846.292695018481
5911,oluwoleolaide,79,5112.356399651556
5529,mumofmany,78,4539.614038946074
7470,steembusiness,78,5130.699232568024
4691,lifttheveil411,78,4476.895092418682
8048,thelightreports,78,4983.906746072288
784,barrydutton,77,5703.236182121664
2904,fulltimegeek,77,5026.440186857831
1182,buckydurddle,76,4549.198713312989
6831,ryivhnn,76,4585.154140611699
2247,drakos,76,4794.224238712796
3524,igster,76,4599.8632996193555
1949,daydreams4rock,75,4489.872853486905
7170,silverbug,75,4686.931419678108
2917,furion,75,5286.832429253871
3162,greenrun,74,4657.025136327339
6008,overkillcoin,74,4675.729806713985
2652,family.life,74,4273.196870424065
5657,ned,74,5103.617283635845
7615,steevc,74,5214.081158884573
4665,liberosist,73,5059.165621720462
7636,stephenkendal,73,5372.9561098672775
3995,jockey,73,4704.42349201819
353,an0nkn0wledge,72,4594.237640561595
5161,meesterboom,72,5245.0715476461055
7425,stackin,72,4946.19306210928
8077,theouterlight,72,4316.133261862029
524,arcange,72,4970.455680281281
6643,richman,71,5005.011924743399
7048,senseiteekay,71,4682.568418634026
7589,steemsports,70,5495.975432413775
2208,donkeypong,70,5148.33020055521
6342,provenezuela,70,4078.819338534892
2636,faddat,70,4625.326733259511
8664,wandrnrose7,70,3952.1169467255
8130,thinknzombie,69,4070.4236010356885
6966,sauravrungta,69,5117.7262662339745
1963,dcfisher,68,3824.200428921734
4521,kyriacos,67,4757.007937296912
3871,jedau,66,4371.553030142752
3107,goldgoatsnguns,65,3822.2150274909795
