,authorName,count,reputation
480,thenightflier,148,9848.161349319269
436,steempostitalia,102,6663.49455834738
517,webdeals,88,6005.3128234945
91,claudiop63,79,5228.070490517087
13,alinakot,78,4965.10539604359
530,zaragast,54,3360.636635882153
276,marcodobrovich,45,2805.9666201846585
447,stella87s,43,2601.746739335681
348,pataxis,37,2220.525724489027
366,profumodimare,35,2085.703919460072
282,martaorabasta,33,1961.4026097994404
478,themadicine,32,1965.3424507725085
101,cryptofarmer,32,2023.270975760167
343,pablito,32,1836.5241771846668
85,charlesx,31,1904.1977441964164
221,ivand83,31,1809.6910101833096
492,tizswa,30,1787.7453057562552
279,mario15694,30,1787.9568848247097
507,viki.veg,29,1716.961835610825
398,salva82,28,1737.5191052124082
307,mrliga,25,1475.6803334404865
114,dantheman,24,1763.6090532454139
326,nicola71,24,1421.7739620878297
345,paolobeneforti,23,1575.1371028148576
526,xeroc,23,1624.0998150563398
264,lino,21,1123.8964730656285
425,stea90,20,1221.771532326859
181,gianluccio,20,1199.126552949949
193,heidi71,19,1096.51722745816
12,alexzicky,19,1114.7497863249373
128,drago18121996,18,1103.794707856411
476,thecryptotrader,17,1057.0620720353377
335,officialfuzzy,17,1264.0683328305836
2,abramjs,17,968.6683121729081
257,kus-knee,17,1225.6764400520456
402,sardrt,16,1083.2207965782352
155,fmd,16,844.4050682613097
437,steempower,16,1173.3467874526536
163,fraswa,15,784.1968136469524
53,bhuz,15,909.7748844208497
205,ilbarone623,15,832.5179215149091
92,clayop,15,1086.0133625650271
268,lordemau,14,922.2195329345773
0,abit,14,974.3818351431961
234,john-gpr,14,817.4316059803282
172,gabriele-gio,13,765.2276890226265
213,irikefee,13,736.9617587722707
146,fboccassi,13,724.8684911336733
388,roelandp,12,858.8625631751677
450,stevelou,12,670.1254006989445
112,danbadjar,11,602.8265365134446
169,futurmen,11,629.376917543716
209,ilvacca,11,626.1623669252671
408,sidwaterman,11,565.2095905876588
359,pierpanbah,11,590.3414142489705
401,sarabelardo,11,621.1621434543831
83,chainsquad,10,660.3719849519653
352,pepina,10,555.5527431880772
251,kingscrown,10,759.2774832763274
277,marcolino76,10,562.1526728397545
271,luigi-tecnologo,10,579.5778330666986
444,steeve93,10,544.9087646413864
232,jesta,10,708.3294137534482
410,silviu93,9,522.9455203907168
33,arhag,9,607.3267459307976
122,djluka14,9,506.87548853599475
186,good-karma,9,669.6451092287098
350,peerplays,9,605.6423029533859
432,steemitblog,8,565.0318273339719
64,blocktrades,8,565.2610751524463
500,unico.global,8,435.3104988524327
496,tosolini,8,458.6067735365448
170,fuzzyvest,7,439.9586478224619
329,noemilunastorta,7,450.40708628543325
185,giuatt07,7,407.9688858891845
246,kencode,7,488.4731085333312
162,franky4dita,7,379.01745988984237
159,francesca16,7,378.09437079375107
423,spiceboyz,7,401.3565362959947
5,aditili,7,381.1622252377979
6,adrianobalan,7,442.63371399737264
505,vercetti,6,324.87060493381813
177,gavvet,6,463.56094420843567
236,joseph,6,440.22878288973413
