,authorName,count,reputation
1049,jgcastrillo19,233,16314.47143909537
703,fakj94,213,13316.721905323091
355,cervantes,201,14301.738353691413
564,don.quijote,170,10816.903561209967
1830,sancho.panza,154,9783.83292164738
763,frida.kahlo,148,9337.412562128522
2004,torkot,147,9245.157188217534
1429,mauriciovite,147,9489.832408497286
1884,simon.bolivar,147,9445.701831172335
845,goya,143,8981.200882448169
2050,velazquez,143,8978.882878742827
1408,marpa,140,8509.88097724524
1352,malonmar,137,8522.42956208074
315,carlos-cabeza,127,8605.45348824072
1582,noticias,122,7200.034931749736
2010,trans-juanmi,115,7150.937127034802
2096,wartrapa,111,7550.616807815362
1910,soyjoseluis,110,7408.0539850746845
795,gargon,101,7169.784038811555
1600,omwith,99,5896.232070454723
1618,oscarps,98,5878.631907625318
1682,poetarojo,97,5716.164327086343
1552,nenio,97,5912.359495122526
819,germanaure,96,6259.400708375994
165,aniestudio,92,6034.272467216057
1885,simonmaz,89,5249.584406557036
1288,loreennaa,88,5577.463805940713
1311,luismy,86,5133.007603907562
1664,pgarcgo,85,5973.60368891655
966,ivan-perez-anies,82,5424.920451809766
7,abnerpantoja,82,4658.015910376854
1065,jlufer,81,5910.9720572703445
1728,rakison1,80,4560.462808214408
1270,lince,78,4893.5351684279585
1137,juancar347,77,4494.589889799876
1366,mapipaz,75,4574.788644897114
1331,maastro,75,4401.013932709928
123,anahilarski,75,5293.9943922202965
172,anomadsoul,74,4769.285414595485
939,ienrikex,74,4315.013026902154
1284,lola-carola,74,4552.621731339131
527,dezconocido,70,4508.868851555582
1912,soymanu,70,4102.6071580155485
1996,titin,68,4456.037882116443
1902,sol25,67,4024.504257479426
636,elteamgordo,67,3917.0616352122765
2066,vickaboleyn,63,3630.9320193511144
342,cavilacion,62,3541.445033727759
1189,katiuskagomez,60,3419.0916803172927
928,humoalex,60,3455.539798044816
1221,kristal24,59,3374.2596389572814
1344,maikelsoto,59,3331.2529828017964
860,guidorosas,58,3245.28430851326
732,fivefiveeleven,58,3564.0527611055263
579,dresden,57,3851.493167371783
2012,trenz,57,3278.913421951334
1978,the01crow,56,3280.104764610928
2018,txatxy,55,3128.799235177907
1948,susiunderground,55,3252.988803944197
266,bitcoinroute,54,3122.11033505659
597,edrivegom,54,3561.7973622747113
843,gooze,54,3005.8189403031406
1255,leotrap,53,3240.6896391220935
480,danilamarilu,53,3612.0461362483347
562,domidelpostigo,53,3061.7070121079446
851,greensky,52,3021.3625992160596
1793,romulexx,52,2926.642153416524
1749,reiny,52,2916.002219446818
506,dcaroa,52,3030.797087320394
1361,manueldelgado,50,2827.710163759352
567,dontstopmenow,50,3157.970897915299
1118,joseph1956,49,2879.183814734181
1071,jocra,49,2828.2487336942127
870,gvand,49,2817.330219269537
1654,pedrovillegas96,49,3149.273098011654
408,colovhis,48,2796.4166926488565
1464,michelcamacaro,47,2853.62901176158
1280,lizanomadsoul,47,2971.157655488592
1375,margaritabokusu,47,2616.900740438512
1983,theghost1980,47,3043.4155000091364
1868,sergiopocasluces,46,2655.4457048800314
1944,suorbe,46,2603.735980081659
2035,valentinagrv,45,2448.3006297162306
1995,tincho,45,2793.734822760036
1066,jmetroya,44,2848.309458927495
2136,yaniria1,44,2471.821469031541
976,jackelinlopez,44,2483.4341229354254
1639,paper-pecado,44,3009.0968271329666
43,alansolano06,44,2449.9316647848955
1767,richi03,44,2477.4573934259834
445,cultura.bitcoin,43,2629.198134071928
590,ecxiquia04,43,2409.085914040319
776,gabox,43,2644.0300341775796
99,alteregophoto,43,2472.734711753319
931,hyperion,42,2331.3619660053173
1410,marsella-2017,42,2535.4577055364907
190,areare,42,2264.463133931403
147,aneblueberry,42,2578.8387319443195
276,bourrbakia,41,2240.8726212595325
580,drmaizo,41,2263.528492958904
1603,onswitch,41,2239.030655143067
1673,pinus,41,2308.746484643935
952,introspectiva,41,2263.745664311973
487,darius86,41,2316.2204184023585
1616,oscarcc89,41,2448.487768314984
561,dojeda,40,2271.793304738613
1433,mayvil,40,2254.217811170405
1027,jessfrendcor,40,2257.4159639616882
1840,sarita,39,2432.3931566192146
239,barbarafuentes,39,2137.59884133302
1617,oscarcede,39,2162.9967834667946
1340,magia,39,2083.65828419023
2156,yimiipsa,39,2150.7158147445084
80,alexisvalera,39,2138.8106505505116
1551,nelyp,39,2526.1626972445342
212,asdrubal,38,2054.0954584503183
1177,karenulloa93,38,2100.267631589626
1917,spanishchef,37,2152.0928350403483
878,handmade,37,2348.5859401029566
