,authorName,count,reputation
618,clayop,205,14836.978950036273
2347,morning,140,9713.027560021994
709,curie,119,8957.88339147517
3698,woo7739,68,4614.832694249263
3118,sochul,67,4804.2305666314305
1263,gotoperson,66,4472.947822474989
1997,leesunmoo,61,4381.606233051773
3555,twinbraid,61,4167.323854303837
3770,yoonjang0707,58,4112.814905881034
1468,imagediet,55,2857.5663493048964
2140,maa,52,3412.4823619877147
3379,teojin0503,51,2712.9702572181386
273,atomrigs,50,3151.762071413485
3607,venti,47,3068.076609041459
1543,jack8831,47,3055.443018261361
1436,iamstevechang,46,2898.3075510018257
759,dantheman,46,3380.250685387043
1316,hansikhouse,42,2949.959183800001
3697,wony,42,2756.1542029460493
3769,yoon,41,2726.0713528330775
2547,oldstone,41,2940.5837594576137
2762,ramengirl,38,2693.790553581316
639,coinkorea,37,2376.456966983722
1246,godknows,36,2340.1792260581483
3098,slowwalker,35,2559.216952621288
1267,granturismo,31,1938.157115879042
660,corn113,30,2079.640590113733
1483,indend007,30,1814.959721482002
2119,ludorum,28,1859.7880675788147
2911,rubens9119,28,1807.823698281331
1578,jay4u,28,1743.816933345479
1626,jesta,26,1841.5647259108664
2863,robotlizzzrd,26,1695.58953625391
1339,havok777,25,1644.8335830586384
46,ai-channel,24,1403.426213177239
2992,sebastianjago,24,1587.5911864554234
3503,tonesquare,24,1502.2516769609492
3034,shiho,24,1498.924735542395
274,ats-david,24,1774.419574473001
3576,umkin,23,1416.9634654063782
2076,lllchoselll,23,1221.819666093868
295,awakeningartist,23,1478.0963816044766
1477,in2itiveart,23,1507.7689419757103
2067,littlestar,23,1508.6992716455134
3263,stellabelle,23,1735.5963313387006
1278,griff,23,1481.1674471245033
629,cnstlf60,22,1377.623767461566
2913,rucoin,22,1473.1967838371572
2413,naquoya,22,1472.0151773111816
3411,thecastle,22,1431.3666851812072
250,asbear,22,1419.7959296632403
1379,heymattsokol,22,1490.9610342395217
1829,kevinwong,22,1650.2200794049686
343,beginningtoend,22,1519.34923557292
1806,kb720k,21,1395.0570800952896
3749,yasemin-gencer,21,1326.4327247920164
776,daveespino,21,1320.7479733791
890,donkeypong,21,1544.499060166563
10,abdullar,21,1508.4309360991303
2865,robyneggs,21,1398.0236200956858
3606,vegascomic,20,1322.2323086617755
2017,lethn,20,1279.0248983404053
3219,steemitblog,20,1412.5791637436641
2421,natalyaborqo,20,1315.822208643407
258,ashlyns,20,1295.9557678719793
836,dev1by0,20,1217.0444368181859
903,dr0tcl,20,1292.2393355348256
948,dzboston33,20,1278.634374145165
3422,thegoldencookie,20,1363.4400984026993
2263,melania,20,1261.502734985944
2579,orenshani7,19,1226.8835500361577
3087,skt1,19,1272.2555823685104
771,darthnava,19,1291.4622574849425
2233,matthew.raymer,19,1222.4291039758643
1881,kiwideb,19,1270.6808209782055
915,drewsteadmanart,19,1190.3520725942294
1799,katharsisdrill,19,1296.247528526789
907,dragosroua,19,1386.9451521638928
847,dianargenti,19,1218.7147779687446
1198,garik-vrn,19,1237.2967713185121
1956,kyusho,18,1232.0882630094075
1600,jeff-kubitz,18,1203.1963417112438
3108,smolalit,18,1165.3321089715673
1257,good-karma,18,1339.176604483783
2208,markzka,18,1136.3986504139627
628,cmp2020,18,1200.8247770140188
434,bonvivan,18,1168.510456384032
2056,linzo,18,1154.566612330705
2759,raluca,18,1152.4056954511805
1777,kakradetome,18,1179.3802268151876
367,berniesanders,18,450.0
215,arcange,18,1242.6139200703203
2480,nin0000,18,1157.0816595336055
3294,stray,18,1157.5757861876132
75,alcibiades,18,1206.0011957294741
342,beeskee,18,1130.7167714933273
3546,trueart,18,1146.3785532398178
2567,onlimono,18,1054.942105361783
2301,mikkolyytinen,18,1199.2577609382474
55,aishwarya,18,1225.468042213257
1437,iamwne,17,1097.8326258977122
3735,xyanthon,17,1142.2345677471242
853,digitaltyrants,17,1084.9105006135924
996,elumni,17,1083.7907186582509
2030,liberosist,17,1178.0810643616371
238,arthuradamson,17,1131.1153626716764
3685,winstonwolfe,17,1198.1177542466035
1779,kalemandra,17,1144.4437212933271
2284,mgibson,17,1131.082626842285
612,claritypavilion,17,1080.4141426844062
3583,unlonely-soul,17,1126.2191016741183
1905,koreaculture,17,1133.6711423438192
3581,unipsycho,17,1145.9560177300789
1202,gavvet,17,1313.3498858952494
1201,gavicrane,17,1136.1992021360081
3050,sigizzang,17,1134.7873369640345
3325,svetlanaaa,17,1098.8565909367546
1743,jungs,17,1079.4237796675457
2151,magical-salt,17,997.580657108797
3723,xeroc,17,1200.4216024329469
3673,whatageek,17,1158.453449609542
2802,reddust,17,1183.966894151867
3350,tarazkp,17,1184.449821314941
3623,villainblack,17,1082.5971564794177
93,alexeymohov,17,1097.2790449172926
3386,teukumukhlis,17,1171.9116741359833
649,commonguru,17,1108.6810100146483
3598,valth,16,1067.9860630015348
904,drac59,16,1081.429007682438
3471,timcliff,16,1160.16553685394
2116,luckyfellow,16,998.2232511106322
582,chessmonster,16,1103.6799913307516
965,edrivegom,16,1055.3473665999145
1211,generikat,16,1072.6862744189737
2291,michaelstobiersk,16,1039.022228926887
753,danigirl,16,1043.4112716885388
3273,steved,16,1014.637137164314
1570,jankasparec,16,1048.955934395758
2537,ogochukwu,16,1050.4404255825011
892,doodleman,16,1049.3284385302234
3052,signalandnoise,16,941.1861045720768
3301,successtrainer,16,1012.2569379064569
2486,ninzacode,16,978.8033316362198
2211,martin-stuessy,16,1016.4690076651809
1623,jessamynorchard,16,1075.4148013787967
898,doriwalter,16,923.1874345373124
1684,johnjgeddes,16,1153.0558832727688
3624,vimva,16,1033.7944236402684
2097,lovealwaysal,16,1000.94282739806
3254,steemvest17,15,1025.6113305355811
2319,mitchelljaworski,15,945.4633236265038
3095,slickwilly,15,981.5583116257518
1095,filotasriza3,15,937.5212010382959
179,annaguzc,15,966.3435072615658
2282,mgaft1,15,966.0891842024134
2278,meysam,15,967.2429591863267
316,baharoba,15,1011.173131837056
3763,yogidream.scapes,15,955.866632639567
2994,sebcam,15,975.7719206070208
3008,seongbuk,15,917.4912605003611
3469,timbo,15,973.7970508609495
2243,mayasky,15,963.4405392858356
3346,tanyabm,15,932.8713532848174
2170,mandireiserra,15,990.0038654329815
779,davewmcdowell,15,945.8191662345558
573,cheah,15,982.5434798300764
2605,paper-pecado,15,1025.8243141081016
3440,therealpaul,15,1029.6801763240646
1121,floridagypsy,15,980.3082301882644
1907,koskl,15,1005.1541960712256
2043,lightsplasher,15,981.2867787572771
1108,fisteganos,15,998.62014309452
3020,sgtechservices,15,967.7163036231242
2735,qezzit,15,956.0811404231723
1474,immarojas,15,980.5751398809123
2552,olisan,15,949.0748982478128
1737,july01,15,912.8576525796981
2745,rachelsvparry,15,970.7835696242482
2840,rigaronib,15,1061.8914722851184
1822,kenistyles,15,933.1111111965809
2464,nhj12311,15,946.4991853013739
2484,ninkhisibir,15,914.4550242541509
1721,jsantana,15,1044.118180099936
2846,riskdebonair,15,994.5228150393106
1782,kanghamin,15,922.7788724579086
1914,kralizec,14,923.3117383862999
1902,kopasi,14,858.2322026283914
1389,hitheryon,14,951.8867828345562
1221,ghostwriter,14,887.170909191005
1049,everittdmickey,14,1015.792053964783
806,decimus,14,883.9289595145108
1888,kmlee,14,845.6437817246493
35,adventureevryday,14,894.375868255169
955,economyit,14,908.4543920524455
913,dreemit,14,979.4862020740467
2393,mytechcrunch,14,896.0832786581622
2708,profanarky,14,916.3395538258559
1924,kristinaljfom,14,937.2759999564379
3408,thebeesknees,14,872.6197279820996
403,bkkshadow,14,990.0442538170241
1137,fortinbuff,14,898.6926106701133
2188,marginshort,14,874.2039183867981
3131,son-of-satire,14,969.6328817424219
2824,revostrike,14,866.1141810292809
3378,teofilex11,14,887.0352014414697
3023,shady,14,948.7223031949349
