,authorName,count,reputation
3933,jsantana,127,8840.203927779961
2102,drago18121996,126,7726.562954994876
789,ayijufridar,123,7552.130514968114
1384,charlesx,114,7002.533639948112
6407,rismanrachman,111,6552.973991053455
1685,curie,110,8280.39651014256
791,aymenz,107,6724.713980223858
538,anyagladys,107,6280.575166054702
950,bettykatty,106,6218.6078580797375
5716,oluwatobiloba,105,6382.266856699948
4886,masriadi,103,6006.862467354725
6329,rerez,102,6915.616072481096
967,bigbear,102,6482.978675225494
3387,illuminatus,102,6215.715866166081
6627,samminator,100,6154.010216265641
495,anneke,100,6206.101232957644
8394,zaragast,98,6098.933154008351
7355,sweetpea,98,6134.113333839393
5012,mercy20,98,5674.938487866998
302,alishi,97,5905.800652948151
8297,yaradua,96,5612.964666264881
396,anacristinasilva,95,5697.560843037826
2841,gee-world,93,5375.561688413887
7495,tfame3865,93,5579.435106078197
29,abduhawab,93,5768.935936893316
7177,steempostitalia,92,6010.210778117244
386,amryksr,91,5531.327489080154
2704,free999enigma,89,5588.947056789379
4115,kemal13,87,5352.011203161094
7424,tawasiriwach,87,4913.465240734358
5023,methusalem,86,5242.68445235055
143,afifa,86,5072.667275468755
8383,zainalbakri,83,4935.8436430202155
6947,slempase,83,5024.503776776929
7490,teukumukhlis,82,5652.752041324289
6268,razack-pulo,81,4993.3076749069705
2289,eliel,80,4765.938199004804
2783,gabriele-gio,80,4709.09347090847
2994,greenrun,80,5035.813980804976
296,alinakot,80,5092.432471049783
346,alvinauh,79,5019.327839755718
832,bahagia-arbi,79,4784.774806725324
5615,novale,78,4744.281257070563
2782,gabox,77,4734.658433294735
3074,halidabahri,76,4237.124979081676
7309,sunisa,76,4484.734174689107
1124,braini,76,4656.2243581243065
7458,temidayo,75,4252.100482598133
5713,oluchi,75,4246.263543506136
7601,themadicine,75,4606.2713689980665
121,adogcreation,75,4198.095213184772
3272,honourmaus,74,4465.759183292176
1469,cindycam,74,4396.80305763364
6418,rizasukma,74,4518.5205486766135
3124,harferri,73,4840.776079753972
1861,deadspace,73,4768.528087031985
2335,ememovic,73,4459.572215288728
1255,caleb-ajayi,73,4138.599367082065
6504,rotimi,73,4121.955564624926
87,adamkoralik,72,4605.7027058105405
1096,bookrak,72,3990.6542967253963
3309,husaini,71,4701.772739871824
7488,teukukemalfasya,71,4059.281256628127
6074,prapanth,71,4066.6468397351514
5465,nayya24,70,4334.4822644992855
5069,miftahuddin,70,4343.753299567826
5102,mimy,69,4132.870875278831
4335,laddawan,69,4150.113526856743
5985,pichat,68,3754.2868243907624
1896,deisip67,68,4011.7751653038604
3193,henry-9ja,67,3733.6131066414637
7449,tejumola,67,3758.119452093155
5581,noemilunastorta,66,4246.6953849769425
5717,oluwoleolaide,66,4271.134268004981
7406,tanyaschutte,65,3865.7863194647653
513,ansoe,65,3777.061096701949
7734,tizswa,65,3873.4481624718865
8276,yahqan,65,3776.957516773792
4633,luigi-tecnologo,64,3709.2981316268715
773,awinyaksteemit,64,3653.814963848209
3950,julee,63,3687.896889502036
2263,ekavieka,63,3733.3117048822687
332,alol,63,4107.453279421833
7365,syehlah,62,3509.678655202461
179,ahtaroo,62,3551.907759916423
2808,gamesociety,62,3885.8848508516517
