,authorName,count,reputation
399,drakos,159,10031.650698696056
906,minnowsupport,121,8154.191129132208
1383,timcliff,63,4568.294853011694
1008,overkillcoin,55,3475.9013330540183
753,keepdoodling,52,3244.931047537603
969,netuoso,47,3209.1434845032
630,inber,47,3297.8698029246634
1519,yoogyart,42,2357.756194930624
1507,xplay,42,1050.0
1160,saywha,39,2396.490577523803
1144,sallybeth23,38,2388.494952039557
987,offgridlife,37,2269.5764014433635
769,kingscrown,36,2733.3999276751892
113,atopy,35,2016.044232724755
669,jasonrussell,34,2244.528050705285
1014,papa-pepper,33,2548.9519907128765
417,elenasteem,32,2021.4194930810377
1294,stellabelle,32,2414.746236889294
449,eveuncovered,31,2086.6960022526846
453,ewuoso,30,1824.8892326745304
905,minnowbooster,30,2017.1721425151034
26,aggroed,30,2178.386265844281
541,gmuxx,29,1854.023220771315
55,anarcho-andrei,29,1846.922852780741
1369,themarkymark,28,1804.69856870848
1492,winstonwolfe,28,1973.3706712860394
951,nainaztengra,28,1731.8381177451308
771,klye,26,1880.3267850861127
1134,roxane,26,1755.271223186297
637,inquiringtimes,26,1620.6856205427612
807,lexiconical,25,1744.4881071206912
1209,sircork,25,1518.0327330080243
792,ladymaharet,24,1401.4885455621354
947,mynameisbrian,24,1762.0259649380512
749,kayclarity,23,1306.1731645368955
377,discernente,23,1492.8514196322712
554,gric,22,1408.5816565957355
570,halo,22,1576.8747123885637
982,nspart,22,1544.535591868111
794,ladyrednails,22,1172.6993374810015
491,followbtcnews,22,1415.5164144965038
718,journeyoflife,22,1420.5784364854123
1291,steemvoter,22,1595.8776671038572
896,michellecarter,21,1286.121093110753
1481,whatsup,21,1446.2586261500276
1347,tecnosgirl,21,1308.1486812026094
1472,wandrnrose7,20,1129.6308618783673
278,condra,20,1340.6537312789787
157,birds90,18,1294.5211337123817
1243,splendorhub,18,1060.8092130669388
785,kubbyelizabeth,18,1098.1941261039485
998,omwith,18,1072.0421946281315
1022,patrice,18,1155.9795360683665
310,cryptohustler,17,875.9986234763077
775,kommienezuspadt,17,1181.7377468636455
1112,rival,17,1089.9841169387216
559,gtg,17,1105.7705394559682
1232,someguy123,17,1153.9439363030451
583,heart-to-heart,17,1101.3652953225044
1524,yusaymon,17,1055.9583635563033
839,lukestokes,16,1165.5276933187001
1086,randowhale,16,1060.4374644333209
5,abbijulie,16,824.8653200894917
1142,saffisara,16,954.3274341030396
507,fubar-bdhr,16,1074.0095263217877
1023,paulag,15,967.942457799811
1013,paolobeneforti,15,1027.2736421238048
