,authorName,count,reputation
5913,good-karma,1445,107506.12124276014
13462,rymlen,1220,77586.53891511416
16765,wilkinshui,1152,76661.11907097754
15342,taufar,669,38235.49391370897
15850,tj4real,628,39213.45442213408
16339,vangelov,571,34577.42330998382
5102,fataelrumy,550,32410.10026060869
4070,digital-gypsy,526,31321.632709430094
9332,lydon.sipe,497,33431.831258888815
5446,freedomnation,494,28210.016770634455
6772,ijoel,470,27406.913656401644
8327,khairul5577,458,25348.55525788693
11438,nurlis031293,423,23162.32580780212
11417,numpypython,413,24826.259115871653
6070,gyanibilli,389,22929.614310419565
6591,htliao,386,26910.15806813355
2169,birjudanak,372,21541.398379996448
14425,sol25,369,22163.282671387464
9066,linuslee0216,362,24525.718243605428
5379,foways,356,20371.723400251223
15833,tinmyoaung,355,20094.85773970231
16613,walcot,347,18462.02531953594
875,amranamrozi,320,17378.387944522332
10571,mubarak,308,16080.243783454674
2236,blackmagic,306,15901.749425269838
8246,kenchung,299,18882.165957485395
16429,victorier,293,18981.67781486284
6065,guyverckw,286,19311.752567966098
4374,duhov,273,14121.578062636152
16538,vonnaputra,271,14359.773584231983
2999,chl,269,15693.185561160368
16347,vantyner,266,13906.850928886255
7680,joe28,265,14659.289652035348
6442,hicmaster,258,13521.787084838512
13949,sergiomendes,257,14468.541790708594
3643,daniel.dalo,254,14829.181110789154
16295,uwelang,253,17927.259188803706
14614,starflyer-9000,249,13869.561244307017
889,amryksr,248,15073.214570656663
8481,kitcat,247,16221.508694410137
6662,iamhaque,247,12994.292189841051
9958,melinda010100,242,13801.961968527285
3808,dber,241,15620.328574395111
17114,yuclino,240,12181.421000115566
12244,preacherofstorms,239,12368.441606710106
9706,martinio6,234,13773.752277661002
5966,green07,234,13004.073153871743
14532,speedygonzales,233,12817.018257875276
11382,novale,233,14171.218474169757
881,amristeem,231,11681.124988270956
2230,blackcoffee,228,11528.92324794182
5307,floridanow,226,12593.496008481588
3019,chris77d,225,11955.772973156796
17229,zakir43,225,13177.813565691686
2755,carlossteem,224,11286.340462201444
6563,hotvines,223,11402.114215570411
16606,wakeupworldnews,222,12442.867941378416
8711,kwakumax,222,12314.86281142749
10914,nadilchairi,221,12538.837710522097
143,abupasi.alachy,221,12581.745401822069
11543,okutavio,219,12016.81717298095
1207,apasteem,219,11616.481984774706
8935,leohira123,218,13905.648676708332
13522,safrida,216,11401.412833218665
8534,kobraa,216,10539.779759852885
15573,thecrytotrader,215,12910.90165805099
15232,tabaya2017,215,11185.461614261909
4546,ekavieka,213,12620.579624289361
13516,safran,210,12715.766069102072
8628,krisii,206,11871.310707817864
4770,erickjongo,206,11226.964756883292
10105,miftahuddin,205,12720.63671777366
15006,suggeelson,205,12902.08190133327
4541,ejhaasteem,203,13929.73755622836
6000,grizgal,203,11032.752359339927
2240,blacks,200,12265.858209167498
656,alga,200,10200.007806415146
2792,catotune,199,9958.547701473406
6522,homeartpictures,199,14389.377078576526
5807,gingenetwork,198,11536.126133338243
1685,ayijufridar,198,12155.075528288438
7912,julee,198,11588.620788575687
8407,kim0jh0,198,11565.354142345972
15597,thegame68,197,9568.630329001662
5964,greatvideos,195,11212.697383355324
8975,leyargoz,193,11189.851678766443
10849,myday,192,11098.503485290268
1349,arjunmartavela,192,11243.445424023015
8998,libertylol,192,11269.090480951694
11478,oaldamster,191,12915.32465553302
16961,yahqan,190,11039.578927978175
1881,barvon,190,12369.9719950946
10728,munawar1,190,9670.763047475255
858,amirullah,189,10724.157135001806
9554,manueljabayajr,189,9717.259344766264
451,aizulkamal,188,11044.113277206297
1875,barrysteem,188,9287.235779801815
4621,elliotjgardner,187,10868.486409342342
6390,heriadi,186,11042.941016927054
12697,ravivshachar,185,9049.413765771526
12536,rahmats,184,10567.97708309567
6208,harferri,183,12135.032438037435
9579,marconah,181,11263.142381086987
6850,imranroza,181,9460.629434680286
1519,atika,180,9210.869781602389
13046,rimungbuloeh,180,8295.6505537263
14721,steemgold,180,12106.456877442186
12374,putrialvira,180,9353.47481892939
14191,silvia,179,12429.79288129973
7103,ismuhar300693,179,8557.263129737805
15837,tinytaruen,178,7661.6744302541265
1416,arunava,178,11351.109269333378
1778,bachtiar0210,178,9787.124031919058
11247,nikita.adroit,178,8713.979393065378
14846,steemvest17,178,12170.58778902223
304,afdhalmaulana,176,8478.499275454618
15052,sunbahri,176,7730.255712622786
15340,tattoodjay,176,10888.843729621298
5218,fikri,175,9517.456473914246
12792,rebelstar,175,9499.803589086612
6618,husaini,175,11588.7350666296
10583,muddasir,175,9184.566335660746
17028,yesfa,174,8557.418338795313
2524,britt.the.ish,173,9522.976871316067
7909,juicypop,173,9201.2784555223
1130,annsita,172,9034.95480401171
393,ahmadredha,172,9958.511560788087
1347,arju,172,8579.707230825632
10319,mnur,171,8878.255755254908
1905,bawi,171,8731.961588148706
13028,rijalula,170,8263.36152681277
4870,evangelio,170,9386.21006240584
1506,atafauzan79,170,9555.956466767466
9320,luxurylifestyle,170,9536.274152829494
9177,loooping,169,8244.058363790693
5313,flurgx,168,9834.623391085765
4984,fahmidamti,168,10500.914884682417
3614,damla,167,10066.914312128562
12173,ponnibong,167,8121.838089661917
13120,rizaldamti,166,9861.96033952904
17212,zainalbakri,166,9871.419323203
15071,sunnythakur9,165,8072.105983299539
16537,vonna,165,7815.65858514077
1835,bangdun,165,7837.947854931132
878,amri,165,9324.341063937833
537,alanmirza,164,9237.494344112336
4367,duckmast3r,164,9400.056330795454
3283,craig-grant,164,12418.67940888802
761,alol,164,10692.24447103567
8762,laddawan,163,9803.838174508744
10149,miky,163,8393.26572678663
5693,geetharao,163,10649.673111501594
6552,horazwiwik,163,9338.575821363875
11791,pakyeechan,162,10275.793716959986
2151,binoddahal,161,8193.479375646533
9292,lukestokes,161,11727.375847173182
1439,ashfia,160,8508.443436813119
13603,sallsteem,160,8127.2873497264345
7241,jaibirsingh,160,7621.420232406825
17166,yuslindwi,159,9136.840606598056
14324,slickhustler007,159,8187.687069453879
16187,ulala,159,7607.756900430587
10676,mukhtar.juned,158,8603.903971967284
4319,dreamzchm,158,8028.772707673359
7385,jawaida,157,8484.259987863003
10226,mirzacho,157,8960.887122938533
8061,kaith,156,8159.079899033958
14856,steevc,156,10991.844193176777
11745,owner99,156,8726.384160553383
2910,charline,155,8162.000222121415
16126,tusroni,155,8478.84484409908
4199,doitvoluntarily,155,11717.567132532937
9543,manokota,155,7468.041959745105
15755,thomaskikansha,155,9488.865852013014
12340,pukacok,154,7607.5256201976135
4418,dzboston33,154,9845.481288600828
4943,face2face,154,9022.251375705526
14848,steemvotes,154,7487.538638950398
9544,manokuteun,154,7410.942041101851
9843,mawardi,153,7906.4760928218
7869,jsantana,153,10650.004980481499
132,abudar,153,10062.929841368685
4281,dpool,152,7377.171694931787
876,amre,152,8281.963745482824
1834,bangdoen,152,7187.97256174827
1271,arda1,152,7328.55477195041
8075,kalinka,152,8892.599394454688
6606,humaidi,152,8719.692350130685
13012,riezky,151,9158.046517289036
13803,sbrys,150,7763.930931858576
13333,rossenpavlov,149,10276.755502674925
13287,roney-ron,149,7813.310749440506
11057,nayya24,148,9159.059097899284
6423,herzaseptian,148,8847.550233999042
3582,daiky69,147,8613.787822798527
7653,jlufer,147,10727.113448250302
16580,wahyu,147,7059.221665979319
4893,evildeathcore,147,9992.697675260135
15199,syehlah,147,8320.705727172972
11818,papa-pepper,147,11354.389916809969
8756,lachitsarmah,146,7104.410976481463
1503,ata27,146,7312.987556852713
17415,zulfikarkamui,146,8044.012635115288
4121,dishapatani,145,6801.940789037647
557,albuluhi,145,8203.278803923959
7878,jstajok,145,8059.870734472026
15029,sulaimankumbang,144,7195.579857859513
2433,boyelleq,144,7980.2757612215255
13550,saiful,144,6825.849342930825
9442,mahrizal,144,6872.647330319096
14322,slempase,144,8716.616893997467
5127,fauzi86,144,7520.688807326151
5666,gaybeeoh,143,7353.9866684157405
17056,yoes,143,8052.411882933189
8502,klen.civil,143,8513.729420217378
1710,ayuwandira,143,8005.014615328853
15113,susanlo,143,9080.89201752758
9940,meila,142,7042.040955987237
9132,lizziesworld,142,7379.607897593124
7691,joelfriedman68,141,7045.9337508703675
4294,dragosroua,141,10292.587725015335
11700,ortigas100,141,7589.5416051898155
6993,ipanphotographer,141,6631.594430630814
