,authorName,count,reputation
1122,kingscrown,252,19132.824366977144
799,gtg,178,11578.06763385639
835,heiditravels,101,7307.57020221616
722,fukako,101,6283.973338132419
2054,sweetsssj,89,6709.204860065765
1278,mammasitta,67,4611.51845633294
697,foodstall,57,1425.0
1412,mrs-steemit,54,1350.0
842,hellolife,53,1325.0
435,cryptoocurrency,53,1325.0
2168,traveled,52,1300.0
1466,naturecenter,52,1300.0
577,ecocoin,52,1300.0
2143,todaycoini,52,1300.0
2310,xplay,52,1300.0
150,art-is,52,1300.0
153,artdirector,52,1300.0
911,interestinginfo,51,1275.0
561,drawingart,51,1275.0
1154,kubi,50,1250.0
2093,thebluepanda,50,3303.1886472456663
827,healthylifes,49,1225.0
315,bysteemit,49,1225.0
230,betamusic,47,3225.9440471033254
826,healthyfoods,46,1150.0
637,everdayfood,46,1150.0
696,foodnet,45,1125.0
1925,skypilot,44,3087.7009173696833
1497,noisy,40,2617.2329141662663
2021,stellabelle,39,2942.9646192945
2133,timcliff,38,2755.3931500281074
895,imperfect-one,37,2252.580283337623
1626,piyasmarty121287,34,850.0
1080,karensuestudios,33,2226.4169926633704
896,inber,30,2105.0040535473945
1039,joseph,30,2200.550494101237
1411,mrosenquist,30,2063.330398853632
1775,roelandp,27,1932.4407671441274
1258,lukestokes,26,1893.861938052812
265,blocktrades,24,1695.7778713074138
1985,steemfest2,23,575.0
130,apiekarczyk,22,1170.6137084392892
1407,mr-riddle,21,1046.741227221869
455,daio,19,1281.6003124534093
1603,pfunk,18,1306.2327637433573
1830,saramiller,17,1194.926596786381
677,firepower,17,1198.973232792589
954,jakipatryk,17,991.2587548766851
2357,zuch.media,17,1048.8615943037446
1681,quinneaker,16,1112.7710180572915
1988,steemit-polska,16,897.0618659457393
1123,kingsmind,16,995.220576384344
938,iyuta,16,1023.8621743687784
136,arcange,15,1035.5072230820726
1453,napotem,15,811.8069046961033
2035,suesa,15,1060.4571086367544
1940,sohan12,15,685.0637131101694
1062,justtryme90,15,1055.4984653505685
1913,sjennon,15,959.1836698302382
214,beanz,14,957.3418364229977
1990,steemitblog,14,988.8054146205648
1128,klye,14,1012.4836514527394
417,crimsonclad,14,840.038355132675
2293,world-travel-pro,14,870.1709810304895
116,anka,14,724.0893668100558
2210,vampiretta,14,928.5096710710766
100,andrianna,14,967.479915853794
1498,noisy2,14,786.692581715954
454,dailydogger,14,792.1946123049872
1288,margasfoto,13,696.1421289244055
1233,lordvader,13,901.4228583827418
1259,lukmarcus,13,763.4995650718594
674,fibra59,12,811.7782869547857
560,drakos,12,756.9718664806655
1283,mapesa,12,754.7371789444481
381,clayop,12,868.5022807099189
1786,roxane,12,809.8819969713488
1265,m31,12,712.1518977533497
673,fervi,12,724.3458957925097
494,decentral,12,644.3305438056761
778,good-karma,12,892.784380374481
15,acidyo,12,891.942812593363
118,anna-redhead,11,602.979433430356
1003,jesta,11,779.1235137232408
1984,steemfest,10,664.7341553154434
2208,valth,10,667.4912893759592
1216,lipszczak,10,549.4112554312019
1111,kevinwong,10,750.1000360931675
78,almost-digital,10,607.2368276338581
725,furion,10,704.9109905671828
468,dantheman,10,734.8371055189225
357,cheetoh,9,225.0
502,demotruk,9,592.2954254412707
1610,phoenixmaid,9,561.2512081944957
2047,surfermarly,9,644.8212531879703
1361,michelle.gent,9,668.9422741964736
2281,williambanks,9,626.5248741548795
1215,liondani,9,613.5362842776368
350,chainsquad,8,528.2975879615722
1130,knozaki2015,8,622.078869570877
344,celebr1ty,8,528.5985588906369
484,dawidrams,8,462.94152530161784
2306,xeroc,8,564.9042834978574
1316,massivevibration,8,436.8984151102636
575,ebryans,8,532.1178213427588
582,edje,8,527.6189806114962
599,elenasteem,8,505.34376876616477
2163,transisto,8,544.5284292245285
626,eroche,8,533.5374642283049
794,gringalicious,8,593.1043360457204
1614,pibyk,8,451.76544577847244
200,barcisz,8,481.50990129819957
353,charlieshrem,7,503.46551759912865
2006,steempowertwins,7,440.525785484129
168,ats-david,7,517.5390425546252
2095,thecryptofiend,7,522.1678475517137
1068,kabaret-otto,7,349.3644236576188
836,heimindanger,7,459.4738766869352
934,ivanli,7,445.3945157439429
1697,ramengirl,7,496.2244557418589
1476,netuoso,7,477.80582095873797
2286,winstonwolfe,7,493.3426046897779
9,abit,7,487.19091757159805
747,gavvet,7,540.7911294862791
283,bosveldtzaneen,7,175.0
1452,nanzo-scoop,7,504.71415533143715
