,authorName,count,reputation
1450,jerrybanfield,597,43656.574858269356
2098,netuoso,346,23624.450587671865
1801,machhour,310,18397.50351581966
1427,jaynie,288,18995.505601662942
1725,lexiconical,221,15420.203133134637
2897,teamhumble,177,11119.567152651518
2436,rival,168,10771.423539250414
2468,rok-sivante,168,12224.309620915721
3309,zeartul,159,11034.29354425707
29,acidyo,145,10778.319550275499
1018,fitinfun,138,8018.05090390855
123,allasyummyfood,136,9823.455496859695
32,acromott,132,9182.381353116843
2738,stackin,129,8862.880744911552
65,aggroed,120,8713.209024788659
885,eco-alex,120,7439.939355074886
967,ew-and-patterns,114,7313.481370346894
1190,greatness96,114,6861.288001449369
2452,robertgenito,113,6620.519064211537
2075,nanzo-scoop,111,8003.476810607038
6,aarellanes,109,6027.559792503077
3019,tomasgeorge,107,6193.088758173766
563,clumsysilverdad,104,6188.385910083591
1589,kaylinart,104,7696.386776472339
1163,gmichelbkk,101,5990.108173065718
1490,joeparys,97,5801.286390198609
746,dayleeo,95,5594.612786874456
1075,fujaxxi,94,5399.625926004937
1478,jo3potato,90,5042.170153627638
2483,rosatravels,88,5676.05064846593
962,eveuncovered,88,5921.782868220136
2837,sunray,86,5086.176226572457
606,craig-grant,84,6360.787014308497
968,ewuoso,82,4988.030569310383
2946,thecrytotrader,81,4864.378487346888
2889,taskmaster4450,80,5073.608304584075
2487,roxane,79,5332.739765108813
2914,terrybrock,78,5217.688060454516
2347,ramengirl,77,5458.645972383713
357,bindu,74,4206.425474106056
1866,master-set,73,4201.2644033714605
55,adsactly,72,5132.600241527916
2293,positivesteem,69,4435.5910262515945
1138,gheghenrv,67,3644.6187581126715
2861,sweetsssj,66,4975.4461572691
1418,jassennessaj,65,4360.72738937335
437,broncnutz,63,4021.5086273268134
975,exyle,63,4580.186482414037
20,aboutall,63,3414.4829494381097
1968,minnowsteemwin,63,3901.210703463838
2759,steemed-open,62,3987.48361089346
1440,jeffjagoe,59,3516.54265546966
2496,rubenalexander,58,3988.6002124919955
1703,laurabanfield,57,2486.865712472182
1253,head10,54,2932.534283224595
1150,gingerninja,54,3160.252456486377
1790,lukestokes,52,3787.9546470657074
2179,onlineprds,50,2970.374268374562
3121,vcelier,49,3359.611017436383
1389,ivargereiko,49,2900.482262622272
45,adil,49,2667.757136299668
1854,markvance,49,3032.0305709199984
2497,rubia.michelle,48,3001.905232903176
2462,rodeo670,47,2771.175423660851
1638,klye,43,3109.771221488571
643,cryptoctopus,42,3071.882715223145
1573,karensuestudios,42,2834.048651805745
2152,oflyhigh,41,3033.937462239494
668,cryptonet,40,2541.8657794630244
1931,michellecarter,40,2449.7544630681014
1639,knircky,39,2545.2441173769694
1514,joseph1956,39,2289.6371552418345
1737,lifemovedbysteem,38,2326.4075565888375
1365,inventor16,38,2376.304228301457
2773,steemitworldmap,38,2208.469197530314
374,bitrocker2020,38,2415.8045709263242
1281,hms818,38,2292.6255455244946
976,ezzy,38,2607.6678999905666
1110,gardenofeden,38,2752.602871151028
1039,followbtcnews,36,2315.9903160105914
767,demotruk,36,2369.324148192905
1334,ilyastarar,36,2139.0909612559376
556,clayop,36,2606.432070156065
2001,molometer,36,2090.589736051413
466,by-yesilbag,35,2055.0796357306463
2557,saramiller,35,2460.1503214456698
1752,livebigcoach,35,1607.7620316386171
1452,jessandthesea,34,1930.5901640357984
2822,stokjockey,33,1809.6745288724671
2363,raziel.com,32,1900.1697857210293
2851,surpassinggoogle,32,2217.6395696066293
2898,teamsteem,32,2270.324920648844
1614,khaled-dz,31,1496.071014094969
2112,nicolemoker,31,2046.209301720389
2096,neoxian,30,2046.5025215429641
3102,v4vapid,30,2093.4645171353163
1733,licklake,29,1530.148133552094
1179,good-karma,28,2083.340339822653
524,charles1,28,1768.3836801824878
3137,vikbuddy,27,1534.553758061948
2372,rea,27,1886.3736538762687
2918,thaiprincess,27,1532.645217609608
3003,tipu,27,1631.6027392585088
1574,kartiksingh,26,1270.7867902285982
900,ejemai,26,1759.3100087410994
2332,quinneaker,26,1808.4607904799855
2737,stach,26,1733.9938415929423
3221,williams858,26,1506.8522164754872
1129,geoffd84,26,1374.004767526436
751,deanliu,26,1893.5348425351317
2657,singhrajat,26,1478.3280569431565
2219,papa-pepper,26,2008.2651657146087
2885,tarekadam,26,1730.8684585815954
1367,investingpennies,25,1457.8276504958974
904,elear,25,1676.1320621811037
305,barrysamways,25,1442.2723061912745
1422,jatinhota,25,1363.484599642733
1092,fyrstikken,24,1765.7921851610706
1357,insideeesteem,24,1190.7536130755493
982,fakire1sadaka,24,1523.6496954902245
3244,wunderwoff,23,1110.5740646454178
2800,stellabelle,23,1735.5981325193627
1787,luisneira,22,1187.187157683129
1665,kromosoom,22,1358.5134453214096
2090,necrosahin,22,1332.8230980723158
1240,happymoneyman,21,1259.9666580096812
2326,pyaesonekhinkhin,20,1117.2442919890923
1531,jrej,20,1179.6732260577803
2695,snowflake,20,1308.9834362207453
1015,fisch,20,1080.3124987121898
1261,heiditravels,19,1374.6914422085636
837,donkeypong,19,1397.4049752740157
289,babarrajo,19,1198.1495351737688
95,alainite,19,971.6824224166653
3001,tinhlaingoo,19,1064.1973997126977
959,everlove,18,1232.1312318585963
310,battebilly,18,898.9241591177035
3149,virtualgrowth,18,1279.5453787856477
2995,timcliff,18,1305.2267090251726
2580,sean-king,18,1239.2358407579995
2330,queeneleanor,17,814.1442911732279
1081,funatoz,17,957.7494670996487
579,coinlend,17,928.566923676831
3048,transisto,17,1159.5503146450706
217,arcange,17,1173.6120754363774
1277,hiroyamagishi,16,1061.335021557129
3165,wahabali,16,739.5906153687847
2422,ricko66,16,969.4849112021102
1455,jesta,16,1133.327062005517
538,choogirl,16,976.3187246764292
1315,iansart,16,908.8725564696795
2830,suggeelson,16,1007.0103835197697
281,awesomianist,16,973.3504656663276
2819,stimp1024,16,985.961268405212
2652,silver-saver,16,715.7944244287376
1356,inquiringtimes,16,997.3449972570838
834,domelay,16,924.3714729073381
2126,noisy,15,981.4625254310276
392,blocktrades,15,1059.8645159108369
2190,orionschariot,15,856.6801958450137
203,ansoe,15,871.6294838542958
3216,wild.nature,15,790.2455905091088
490,carface,15,853.1842484925656
2623,shawnfishbit,15,833.2885605080005
720,danlupi,14,902.1029679926589
363,bitcoinflood,14,887.2815817189927
2793,steemwin,14,809.591608081168
102,alex55555,14,638.0307462039926
222,armandocat,14,889.2457545262429
559,clixmoney,14,775.228645222918
1126,generation,14,763.1880738788432
2989,thunderland,14,722.8704252858399
3082,ugetfunded,14,808.8958066714927
1027,flipstar,14,886.534451043637
3272,yabapmatt,14,889.4725012707096
2691,sneakgeekz,14,772.970076609643
2558,sarasate,14,801.415548793809
2146,oceanelement,13,658.7955844794595
1256,heart-to-heart,13,842.2205199525033
2503,runicar,13,798.7521627797993
1434,jeanelleybee,13,672.4908897332703
1390,iyanpol12,13,770.4469357967744
332,believeme,13,706.3790777157935
329,behindsteemit,12,657.4415838538594
1509,jordanmchale,12,660.5767795334204
1183,googlee,12,663.5450876124393
666,cryptomaker,12,714.4414125502385
3101,uxair,12,700.6323656972183
2368,rcarter.witness,12,695.8849275004736
1557,kachinhenry,12,770.6791984619238
2241,paulyaces76,12,597.3161435231669
1928,michaelcj,12,733.6311756402882
812,discernente,12,778.8635517372285
1095,g-no,12,621.01028265213
768,denisechips,12,636.72684226241
252,ashleypeat,12,657.184982688414
1916,merajdin,12,695.32842756518
2463,roelandp,12,858.8625631751677
1417,jasonshick,12,702.6032452822876
455,buildawhale,12,752.24995628382
3070,tstinfo,11,585.691990844088
2155,ohamdache,11,674.5022324174364
12,abdelhamidtsouli,11,511.37144586837087
2360,rawpride,11,652.1276120020681
430,brianphobos,11,740.8863771897038
1381,isteemithard,11,615.6757407465379
1145,gigafart,11,630.1745364548794
1007,fetch,11,629.0181520668538
2315,promita,11,644.498504574706
1010,financialcritic,11,633.3710606687962
2729,splendorhub,11,648.24797217865
1397,jacquelyne,11,626.4346399386245
1262,heimindanger,11,722.0303776508982
2066,nainaztengra,11,679.9143037914598
3252,xeleos,11,510.06310959785014
1867,masteranibal,11,536.7843590218044
1488,joelaldrich,11,470.8043143453801
651,cryptoeera,10,520.7092823454836
2896,team101,10,593.2403544796543
663,cryptokeepr,10,593.1213816107776
3169,wakeupsheeps,10,573.4114040021109
1114,gary-wood,10,463.3549877394155
54,adriansky,10,573.4885930652741
2942,thebookofuma,10,543.1892062918071
2839,sunshine247,10,545.2256745395782
945,erikaharris,10,652.5979063964162
1770,lovedenkillenja,10,406.68187540021023
2455,robin-ho,10,649.2245116022843
2870,szuri,10,507.31581468457534
1496,johnnyray,10,550.547673182451
2969,theprophet0,10,666.1931633922247
755,decentralizd,10,622.0697714621314
1893,mcdevlin182,10,440.5606738689637
1628,kingscrown,10,759.2774832763274
134,alphacore,10,581.3907866738491
708,damla,10,602.8092402472192
2514,rymlen,9,572.6608387487969
1664,krnel,9,688.3802996474601
2707,someguy123,9,610.9114956898474
1068,freshstuff,9,515.0982860302177
2797,stefanarud,9,503.3225927667744
849,drakos,9,567.8267219513771
2852,surprisebit,9,488.0191137254227
1327,ifty40,9,492.9306570487626
485,captaincanary,9,509.8039433556584
970,exe8422,9,467.48042672903256
2890,tastetwist,9,489.0930984753965
216,aranda,9,512.9326039609464
2264,photographer2,9,519.6383588442563
1858,martibis,9,475.02408423487464
1795,lykkejay,9,514.7229569509643
15,abh12345,9,596.9707354505684
1975,missiontothemoon,9,526.8348112869166
30,ackza,9,586.8000879812307
244,arunava,9,574.0329811116839
2344,raikuhen,9,509.4419295391533
2235,patricksanlin,9,538.9386455824541
2783,steemreports,8,512.9581652161921
2537,samstickkz,8,492.80718576404536
3291,youss,8,348.4320920176573
2715,soulsistashakti,8,500.6909471306785
810,dinoo,8,404.31657707852696
1594,kedjom-keku,8,413.31463101611973
1833,manish2303,8,317.11611507024213
1970,mirage,8,422.6950836641348
1373,isaac.rodebush,8,434.90701938913605
304,barrydutton,8,592.5481341600148
2853,survivebubble,8,452.67167334641374
2304,pretzelgirlsandy,8,472.22500430026116
1841,marco-delsalto,8,478.13160109841306
177,andrianna,8,552.8596123490122
396,blueorgy,8,541.9442766915165
1449,jerrev,8,324.83073799396277
315,bazihassan,8,316.8137202067019
368,bitdollar,8,469.96584180601747
2078,nasgu,8,359.47807871877615
354,bigpanda,8,519.1130330341958
2440,rksumanthraju,8,411.57208548939343
2442,rmc,8,341.7258040691743
2740,starkerz,8,478.03359440949737
2198,ottostephens,8,382.92658436252145
526,cheapestwhale,8,395.7420998939514
725,dante31,8,462.16708901503875
886,ecoinstant,8,476.39036498284054
519,champions-league,8,355.0562379487278
1991,moderninvestor,8,411.41603411652864
1173,gold84,8,479.8995216451626
698,czechglobalhosts,8,559.8379409298751
2030,mrs.steemit,8,548.1576391594621
500,carwilva,8,351.2224461383248
3046,trafalgar,8,537.7552253789863
3184,warjar,8,428.8733402015357
1260,heelzkinu,8,462.94579528398503
3059,trevonjb,8,552.956452837075
496,carlostiziano,8,336.97575714690436
1124,geekgirl,8,465.32291307665264
