,authorName,count,reputation
433,charles1,3817,241068.33845839225
1285,kenhudoy,3462,206288.09117902667
305,birjudanak,2922,169200.7903671331
2428,tattoodjay,2345,145079.69815022597
1160,jeffjagoe,2207,131536.0827857782
1345,kumaran444,1933,99546.78106159644
1969,rebelstar,1926,104552.12407189037
1716,nityabusiness1,1366,65135.36918550181
2240,sol25,1125,67570.91103837686
1788,openbull,1014,48007.752057729784
2433,team101,929,55112.02893115988
1042,hynet,922,44748.11428540188
2740,zainalabidin,909,47060.77428363386
2275,stackin,874,60036.12228978273
2719,yash0108,851,43957.39763412227
682,duckmast3r,843,48316.931267342996
2203,siswadi,787,43608.27383115822
718,ekavieka,765,45326.20945611665
108,am24it,727,38539.349153149975
1253,kaith,712,37238.87748789858
882,gauravchugh,707,39254.63176818322
872,ganesh245866,703,32250.04714109095
90,alhasan,671,36797.71022951358
501,coquiunlimited,664,36021.04417584819
873,ganesh444,659,30007.504997275293
1391,leyargoz,658,38149.186059338484
339,bloghound,651,36322.638311773415
771,ewkaw,621,37200.14252600129
173,anton-kostroma,599,38741.344875977666
431,chandiran3,584,26954.13845746077
1141,jatinarora,559,30019.64545204059
1717,nityabusiness100,555,25846.242359918448
2601,vallesleoruther,549,33929.03395359575
2097,sandstorm,546,35408.794436282195
1976,rekha007,543,13575.0
1544,mcekworo,542,24836.26237091039
1491,marcusxman,532,28623.147714459534
735,elvispandawa,524,25161.765038638634
1398,lig007,504,25909.205428408593
125,ana-maria,499,28963.904720123537
1420,locutus,497,26649.19556966137
430,chanchal85,490,22197.449666196448
2384,superkrish,474,24474.040138508204
1642,mstpapi,471,23021.640332981915
1822,pawos,447,26477.53282261795
1945,randompic,435,10875.0
1551,me-do,431,23611.52630663824
2400,syarrf,429,22538.8135260049
830,forjayfortune,419,20801.772980421283
1033,htliao,416,29001.621130423722
2258,sp7693,413,19701.71503342755
656,dm7693,407,19149.37837545779
2056,roykie17,403,21731.68127915108
1648,muktichugh,393,20725.827315206698
123,amuchtar,388,21729.623522607486
1130,janreyqm1,384,19286.431194451085
2014,rk123456,372,17595.7242048544
397,buwan444,370,16921.278806402494
2086,sam99,365,21357.996019614995
60,akg377968,362,17007.79060360875
2393,swedishdragon,360,19786.88534453265
2708,xplosive,357,18738.020943226868
2199,sipitung,356,18051.161074768883
2413,tanishqsharma,347,15065.78074670372
649,discreetsaint,345,16744.52407168877
2709,xpoze,340,17021.61033526387
959,hackerwhacker,337,19344.763687633425
465,clemdane,336,17526.704362553894
1436,lovemice88,333,14331.28600783112
24,ackhoo,327,19100.112171912227
1660,mykos,315,19170.099391839638
1917,r76k,314,14795.972276800592
1247,jznsamuel,310,19414.48956352714
2065,rycharde,309,17656.896676301905
207,aschatria,309,16467.5728489083
1927,rafkimuhammad,309,16383.350258192422
1947,rangertx,308,17175.798867075435
798,felix2010,304,14968.304184691546
373,brianphobos,302,20340.42051714358
1122,jamhuery,302,18682.24163958782
1746,numpypython,296,17793.154233167093
1312,kk93,294,13338.730610263732
2034,rockjon,287,17121.796899966856
1936,rajorajiten,287,15127.401416916433
1180,jesta,282,19973.89345166033
2614,vermaveennu,282,13965.846801456957
1552,mediavoice,281,13609.006029869195
1918,r93k,277,13004.976365829625
1018,holycitycomedy,277,12346.806427108439
351,bodyinbeta,270,13814.375228947578
88,alexvan,267,17412.49939479144
782,fadli79,264,13994.418560773538
425,cgame,259,15997.044326503825
2046,ronmamita,255,12999.571278892989
98,allfabeta,249,16084.625307351016
857,funkit,249,14937.632199770705
1687,ndre1224,248,12526.986094975207
