,authorName,count,reputation
1190,klye,839,60676.69894950956
216,barrydutton,609,45109.02342864309
2277,timcliff,130,9426.640172881274
1387,matrixdweller,129,3225.0
803,fyrstikken,128,9417.558320859043
1648,papa-pepper,125,9655.121176942714
2118,stellabelle,122,9206.220028140433
2233,thecryptofiend,93,6937.372831758484
1401,meesterboom,89,6483.755035390817
1139,karenmckersie,88,6147.22310549836
1665,pfunk,78,5660.342014334045
969,iloveupvotes,77,1925.0
1204,krnel,77,5889.475896983826
2379,venuspcs,75,4889.865720264688
222,bayareacoins,74,4434.6418966560495
1981,sirwinchester,73,5489.095512351791
1181,kingscrown,70,5314.9443038128675
447,condra,70,4692.288059476426
1413,merej99,70,4881.985243890733
534,dantheman,65,4776.441185872995
875,gringalicious,63,4671.227992021907
2171,sykochica,63,4428.67170191308
1305,lordvader,63,4369.14684100277
896,hanshotfirst,61,4507.0074495367035
1176,king-crypto,61,3422.906577304901
1580,nonameslefttouse,60,4245.417288256223
1777,reddust,60,4178.82826413902
201,bacchist,60,4160.410221467437
1480,movievertigo,59,3895.170914111234
977,inertia,59,4168.665047523012
858,good-karma,58,4315.701905445286
2396,vishal1,58,1450.0
1167,kevinwong,57,4275.573559132055
21,acidyo,55,4088.626084819778
175,ats-david,54,3992.7630388080524
1169,khunpoom,53,1325.0
2200,teamsteem,53,3760.225649824648
1901,sauravrungta,52,3856.8378264247654
934,hilarski,50,3684.9594846157884
2121,stephenkendal,49,3606.855274948371
339,btc.ctb,48,2277.5437877764466
2349,ultravioletmag,46,2658.3000816191447
99,ancap47,46,2440.8696357082176
640,dwinblood,46,3356.2552065250156
2166,sweetsssj,46,3467.7377732527216
1807,rigaronib,45,3185.705712888464
1636,ozchartart,44,3345.2663380836993
426,clayop,44,3185.6510845893117
2220,the-alien,43,3141.312097017765
110,anejosua,42,2288.920222857164
1765,razvanelulmarin,42,2942.1005417821284
729,ezrathecat,41,1025.0
2083,steemitblog,41,2895.7886244704973
179,ausbitbank,40,2884.044402536308
1998,smartguylabcoat,39,975.0
2032,spbesner,38,2284.840236219097
815,gavvet,37,2858.625960573062
1067,jesta,37,2620.8200298328984
1928,senseiteekay,36,2374.2600432510553
797,funnyman,36,2494.6068452658706
2017,someguy123,36,2443.6459827593894
1063,jerrybanfield,36,2632.6402236128242
1242,lauralemons,36,2453.029640907874
1574,noganoo,35,875.0
2091,steemitqa,35,2129.848440450997
1722,prufarchy,34,2335.895119054013
1232,laonie,33,2186.30907860831
220,battleaxe,33,2118.924791112339
2444,williambanks,33,2297.257871901225
607,donkeypong,33,2427.0719093334415
754,feminism,33,825.0
1920,sebastianjago,33,2182.9379430732647
1581,nonlinearone,32,2100.1373625172873
1241,laughingshots,32,800.0
2437,whatsup,32,2203.8226684190895
245,berniesanders,32,800.0
2448,winstonwolfe,31,2184.803243209544
1101,journeyoflife,31,2001.7241605021718
468,creatr,30,2092.618784207673
2386,vigilantrespawn,30,1466.0893568006013
1205,kryptik,30,1857.7251204052945
1098,joseph,30,2201.274646201286
292,blakemiles84,30,2019.8298164464882
401,charlieshrem,29,2085.7857157678186
1192,knozaki2015,29,2255.062307363704
2108,steemsports,29,2276.9217547797216
2124,steve-walschot,29,1985.904883608759
2,abarefootpoet,28,1719.9461821781015
479,cryptocreme,28,1422.8015383398888
2395,virtualgrowth,28,1990.4039225554518
1941,shaka,28,1882.3768607027314
1150,kaylinart,27,1998.100472957727
752,felixxx,27,1797.7189916018126
2002,smooth,27,1840.432517059403
1980,sirlunchthehost,27,1915.9125499783677
1543,nekromarinist,27,1825.7045914917878
1172,kiddarko,27,1833.2260840106155
274,bitcoiner,27,1754.8196883870987
1836,roelandp,27,1932.4407671441274
798,furion,26,1832.7685754746753
703,erodedthoughts,26,1494.3751341472346
625,dreemit,26,1819.2127716392288
760,firepower,26,1833.7382389802742
1660,penguinpablo,26,1868.6637289309083
2115,steemvoter,25,1813.497348981656
2331,tuck-fheman,25,1855.5347210233933
1222,l0k1,25,1744.783369248087
1908,schattenjaeger,25,1750.1462848175033
37,aggroed,25,1815.3218882035674
2004,smysullivan,24,1508.618277134587
2408,voltarius,24,1432.2113046822776
2176,tabish,24,600.0
307,bobdownlov,24,1354.4665715080303
1546,neoxian,24,1637.2020172343714
236,bendjmiller222,23,1483.5923260143586
1239,lasseehlers,22,1398.0157894672316
1319,luisucv34,22,1518.0712190544286
2303,topikzmonster,22,550.0
1596,oaldamster,22,1487.6290287204151
2279,timsaid,22,1604.499060683586
1066,jessica123,22,550.0
784,freebornangel,22,1437.1333557710034
2468,xcynosure,22,1151.6390396762213
480,cryptoctopus,22,1609.082488561729
1298,logic,21,1414.2147077881311
715,everittdmickey,21,1523.7415617120241
8,abit,21,1461.5727527147942
217,barvon,21,1367.2083867649826
902,happyphoenix,21,1285.6787975631444
1887,sanmi,20,1167.654014883576
228,beanz,20,1367.6312743090787
1115,justtryme90,20,1407.3323684116756
1839,rok-sivante,20,1455.3149074045643
497,cryptopie,20,1373.4614185018052
2483,yanik,20,1196.4840884137088
541,darthnava,19,1291.6100975527024
1106,jrcornel,19,1438.2828191027743
1782,reneenouveau,19,1268.2915131603631
206,baerdric,19,1240.212660979325
2311,trafalgar,19,1277.1696050662463
142,arbitrarykitten,19,1229.5931270989236
604,dollarvigilante,19,1420.461600636794
1716,proctologic,19,1169.3529805182482
1624,orcish,19,1299.5434456206688
1583,norbu,19,1333.6201871686678
1267,liberosist,18,1247.4672227083265
208,ballinconscious,18,1184.8392489360228
327,brianphobos,18,1212.3634679890613
1799,richardjuckes,18,1185.1877604191234
425,clayboyn,18,1195.8920865277094
2255,therealpaul,18,1235.6171093454082
920,heiditravels,18,1302.4262105377697
1538,ned,18,1241.420420343854
1400,me-tarzan,18,1326.2436421513394
620,dragosroua,17,1241.054726845886
2430,webdeals,17,1160.1227119427258
105,andu,17,994.8995833796268
1140,karensuestudios,17,1147.3498443928959
1511,mynameisbrian,17,1248.101725164453
656,edje,17,1121.2076182781068
78,allasyummyfood,17,1228.0323735209458
144,arcange,17,1173.729275537899
2503,zaebars,17,1153.4205345912465
675,elias-jaxon,16,893.2627964079163
1321,lukestokes,16,1165.5276933187001
150,arif-gazi,16,400.0
1600,officialfuzzy,16,1189.7113720758434
2098,steempower,16,1173.352755679602
1043,jaynie,16,1055.3058667590524
42,aiqabrago,16,1052.328986187396
980,infovore,15,1081.9201610659643
385,cassidyandfranks,15,927.9627750602891
244,bergy,15,870.8455362352336
916,healthiswealth,15,811.4581336906873
2005,sneak,15,973.3017781163325
1302,lorddominik007,15,898.3002005597824
452,contentjunkie,15,1053.265519812463
666,ejhaasteem,15,1029.295135912105
1214,kus-knee,15,1081.4893758162746
2057,steemcleaners,14,1066.08048234918
982,inkha,14,770.4243694453812
482,cryptodog,14,720.2469946656689
1346,malicered,14,847.5646763735826
79,allmonitors,14,983.3866703211013
571,denvermax,14,900.3004647496007
2301,tonyson4078,14,688.1272047458265
567,denmarkguy,14,962.3589311323306
1652,patrice,14,899.0951947198406
1617,onetree,14,960.8364411923745
1629,outchemy,14,622.8047348694314
862,gord0b,14,753.7324184852395
221,battlr,13,693.0130961939267
1678,piedpiper,13,912.3859377071375
2187,taskmanager,13,822.8795435475565
1860,rubenalexander,13,893.9965993516541
2043,stakepool,13,707.873990708842
272,bitcalm,13,839.3951619921633
1668,pharesim,13,894.9462172010868
1929,serejandmyself,13,920.3875226779139
829,germanlifestyle,13,881.9571298515888
1742,raenphve,13,325.0
603,doitvoluntarily,13,982.7640489375174
2087,steemitfaucet,13,763.4096822256013
553,deanliu,13,946.7682242028263
681,elyaque,13,914.4986879009989
2420,walden,12,771.0951376199873
1525,nanzo-scoop,12,865.2451549726509
485,cryptogee,12,869.3089690977573
1031,jamtaylor,12,855.0979663825563
570,dennygalindo,12,712.6731328601088
350,bullionstackers,12,842.4355285861758
2117,steevc,12,845.5370463170802
1260,levinskaya,12,711.9681116088723
1692,poeticsnake,12,820.9445443144214
812,gardenofeden,12,869.2700091143978
857,gonzo,12,816.4015934531785
1964,sigmajin,12,791.889090687811
1095,jonny-clearwater,11,693.8471606375897
429,clips,11,275.0
826,genyakuc,11,551.3321094794626
166,ash,11,788.376168801512
1608,oluwoleolaide,11,711.8804231382667
320,bravenewcoin,11,765.7284562372444
136,anyx,11,750.4306098759149
660,egjoshslim,11,636.233197231284
937,hitmeasap,11,731.4555849771743
1342,majes,11,757.9086039924139
909,hasan086,11,275.0
2132,stonedfood,11,671.6155298173987
359,buzzbeergeek,11,768.3574305322122
2077,steemislove,11,437.5085097302273
2447,wingz,11,723.1837270863414
1576,noisy,11,719.7392274936773
2282,tincho,11,682.9129566746755
2222,the-future,11,749.7115715136067
1221,kyriacos,11,781.0620467129904
365,calaber24p,10,738.7296571833676
1070,jholdsworthy,10,611.7999666415035
1502,mujeer,10,250.0
606,dommaraju,10,607.6444631185763
98,anca3drandom,10,681.8727875501909
2343,ubg,10,580.0207540267718
1856,royaltiffany,10,623.2306217592447
312,boosje123,10,618.5089856853034
1050,jed78,10,610.2568602613565
181,austinsandersco,10,499.47859816124026
2253,theprophet0,10,666.1931633922247
406,cheetah,10,726.3139240679427
2352,unipsycho,10,674.0917751353404
931,hien-tran,10,641.0397562697482
704,ervin-lemark,10,681.418220813037
880,gtg,9,585.4079326531597
356,busy.org,9,604.0420461188824
2266,thirsty,9,526.3257861377707
504,crystalpacheco30,9,417.7171169282639
2477,xtester,9,535.882060823825
1490,mrtoto,9,392.0009792329846
309,bola,9,605.7212958873237
793,fubar-bdhr,9,604.1303585560056
489,cryptokeepr,9,533.8332905072778
903,harand,9,538.5883354333462
488,cryptojoy.com,9,527.3998965779836
1619,onix420,9,225.0
1199,krazykrista,9,534.75032091556
575,deviedev,9,601.6439914800186
2387,villainblack,9,573.1396710773388
697,ericvancewalton,9,679.0286317759908
1157,kencode,9,628.0368538285686
107,anduweb,9,553.3341727374138
1292,livehonest,9,225.0
1355,marduk777,9,225.0
235,ben99,9,499.6324117801811
1151,kebin,9,485.8180569116412
239,benjojo,9,636.0749210539808
2362,uruiamme,9,471.12595394907595
167,ashleykalila,9,533.7299125086811
2284,tippy,8,309.68713168247587
1621,ontofractal,8,539.4212589981722
1252,lemouth,8,551.1228773928464
411,chitty,8,550.8203853509885
418,churdtzu,8,547.8379991764916
2218,thatkidsblack,8,437.82437954214856
486,cryptohustlin,8,503.57411808619554
984,inphiknit,8,525.0834701887494
410,chinese-gandalf,8,409.47016389545433
178,aunt-deb,8,523.6359324805874
237,benjamin.still,8,528.9849060769723
303,blocktrades,8,565.2612484651265
1324,luminousvisions,8,200.0
395,chainsquad,8,528.2975879615722
1109,juanmiguelsalas,8,547.8772436781414
1347,mallorcaman,8,526.2035826758151
384,cass,8,555.8502370598457
2470,xeroc,8,564.9042834978574
464,craig-grant,8,605.7892394579521
2491,yogi.artist,7,413.4565197807543
373,canadian-coconut,7,484.21821034522236
887,haejin,7,491.71329056799004
2377,vegascomic,7,462.7813080316214
891,hammadakhtar,7,390.2877826199022
1035,jasonbu,7,389.75978568238975
619,dragonslayer109,7,505.9378830448712
2344,ubik,7,395.48615305811893
906,haroldallen,7,175.0
353,business,7,427.07694966997815
1019,jacor,7,495.00265059145477
1388,matt-a,7,446.79937373184407
1482,mrgreen,7,432.5289232987344
2003,smooth.witness,7,438.40308667693114
1554,nextgen622,7,463.1942140579167
2486,yehelimalul,7,264.68072721770176
515,dailybitcoinnews,7,487.3629269515707
1207,krystle,7,473.7005078272558
1582,noonedanger,7,305.06927987020043
1348,mammasitta,7,481.8014106134023
1440,minion,7,395.31031433858584
7,abh12345,7,464.36834591112114
1974,simranverma,7,175.0
1194,konti,7,428.167685012771
1591,nspart,7,491.4431428671262
543,daut44,7,444.8860903437828
1903,saywha,7,430.13933442734924
304,blueorgy,7,474.201242105077
2034,spookypooky,7,390.05821267059656
2380,veralynn,7,410.36901411242275
1622,opheliafu,7,523.7185681643994
466,creationlayer,7,424.44090383756406
472,cryplectibles,7,468.407082483831
1491,mrwang,7,483.73396052085263
1334,macksby,6,440.54575431314237
1673,phoenixmaid,6,374.1674721296638
1201,krishtopa,6,402.9576539905338
348,builderofcastles,6,362.0008863231483
369,camilla,6,411.67289798668435
1951,shayne,6,403.5374725961832
698,erikaflynn,6,355.1608844093889
545,davedickeyyall,6,324.1964946289814
215,barrycooper,6,404.73003816462784
2268,thisisbenbrick,6,409.4678533534203
520,dan,6,417.61802010855047
592,djrazor,6,256.75417832848575
2013,soldier,6,412.91288535215745
20,acidsun,6,396.30677318510766
2183,tanya28,6,150.0
2006,snowflake,6,392.69530924285937
1478,motivator,6,330.07050366708097
2119,stephen-somers,6,376.9250590893188
151,arisa,6,356.57695453970143
1542,neilstrauss,6,404.2174494543124
1279,lily-da-vine,6,435.5873921232312
2329,tshering-tamang,6,368.37552604580446
673,elewarne,6,406.97228740960566
280,bitcoinparadise,6,400.09334109847265
2449,wisehammer,6,333.50461425110717
68,alexanova,6,369.7943497300974
243,beowulfoflegend,6,390.79840340572514
54,akram1,6,150.0
1314,lpfaust,6,397.90706127876945
1090,johnwjr7,6,313.92917410112136
2044,stan,6,419.60509123634654
849,gniksivart,6,340.1275396187493
1994,slowwalker,6,438.7241425518816
1961,shredlord,6,373.23442162262313
1120,jznsamuel,6,375.78235419952443
2369,valth,6,400.5215501252425
799,future24,6,428.1630352780773
331,britt.the.ish,6,330.2847327849745
654,ebryans,6,399.0883660070691
1417,mgibson,6,399.2074165611172
838,gikitiki,6,348.05775990874963
1897,satfit,6,328.24929230234454
1691,playfulfoodie,5,338.51020809748434
1547,nepd,5,329.9502137197843
852,gogogadget,5,264.2328885125228
2237,thedeplorable1,5,312.4731789024271
135,anwenbaumeister,5,357.03367516354945
2236,thedegensloth,5,296.0752003315045
873,grey580,5,301.26992488825033
428,clevecross,5,299.61981050246783
2424,wang,5,125.0
1257,leongkhan,5,316.8694549946158
423,clains,5,340.8789128934809
690,englishtchrivy,5,356.6805507088279
1237,larksongbird,5,254.94875298502876
609,dooglus,5,252.29062103856066
691,enjar,5,276.50629463623943
2232,thecryptodrive,5,324.417371263275
1236,larkenrose,5,344.6914352601045
1411,menta,5,314.7230204409746
355,businesswri,5,308.2530211744189
199,b0y2k,5,364.0545810255023
2161,svk,5,325.41774470468044
2120,stephen.king989,5,317.0670761159488
574,destroyed,5,283.2277390836906
90,amy-goodrich,5,346.49482128629273
795,fulltimegeek,5,326.39221992583316
2320,triddin,5,297.0389363999118
2136,stray,5,321.5570295745166
1616,onceuponatime,5,357.2095906143099
725,exyle,5,363.5433749853553
2028,spark,5,283.76886555853355
1804,richq11,5,350.1589709025968
1627,originate,5,329.6660727220911
286,bitspace,5,327.41801897220404
1630,overkillcoin,5,315.99103027763806
1432,mikemacintire,5,316.5650577549517
523,dana-edwards,5,368.6781461247858
2461,writeratheart,5,196.23820946432673
2105,steemship,5,343.05275341235085
1637,ozmaster,5,340.6986055501895
735,faddat,5,330.3804809471079
1384,masteryoda,5,355.36815050833496
2068,steemfest,5,332.3670776577217
326,brian-rhodes,5,319.1603139923341
986,instructor2121,5,333.07160154195344
1686,pixielolz,5,315.2210971580815
1685,pitterpatter,5,311.0291893096763
622,drakos,5,315.46071379547345
962,igl00,5,313.30854788765515
1915,screenname,5,334.94700794803464
1677,picokernel,5,315.7958176871308
1365,marius19,5,365.24219187371796
2485,ydm6669,5,260.9634725086966
985,inquiringtimes,5,311.67031164283867
2122,stephmckenzie,5,309.5976929843343
343,btotherest,5,282.7993446731865
1891,saramiller,5,351.4505768587196
335,brunopro,5,310.504586659514
710,ethanjames,5,285.09113339746085
2089,steemitguide,4,263.04168748436655
810,ganjagirls,4,235.31627587013952
814,gary-wood,4,185.3419950957662
2022,soushi888,4,237.70899171044613
2063,steemdrive,4,258.1598518606309
533,danpaulson,4,236.70110352695963
