,authorName,count,reputation
452,steemcleaners,190,14467.108316315185
213,hilarski,162,11938.79765693873
5,adamkokesh,66,4455.220688599365
238,jedau,61,4040.3747702834517
427,sean-king,54,3717.707501448731
453,steemed-open,50,3215.7114286213796
105,dadview,49,2863.912435770829
522,vm2904,43,2713.9776526540377
270,kevinwong,41,3075.410147981987
298,lukestokes,38,2767.952063307956
204,hanshotfirst,36,2659.5540171045327
149,emancipatedhuman,31,2032.3220036069226
469,sterlinluxan,27,1833.7558911610174
193,good-karma,27,2008.7649067256743
40,ashe-oro,25,1537.614933034428
535,world-travel-pro,23,1429.5667827459845
491,the-alien,22,1607.160840186632
208,heiditravels,22,1591.7479648391636
236,jasonstaggers,21,1336.9024002960562
482,swissclive,21,1244.587581606228
116,daynewright,19,1055.614201085353
319,minnowbooster,19,1277.542356926232
281,larkenrose,19,1309.8267907922836
191,gomatthew,16,848.2305177636795
89,corbettreport,15,1011.5885427505037
50,billbutler,15,974.7392771999862
464,steemvoter,14,1015.5585154297273
444,snipe,14,778.5551543005516
62,brandyb,14,745.8017258045967
26,andrarchy,12,846.0541342256236
425,scaredycatguide,11,748.8240853799973
235,jankasparec,11,721.1572048970836
121,denmarkguy,11,756.1294622732302
242,jesta,11,779.1235378853667
38,ash,10,716.6811815888071
331,msg768,9,552.152532017513
90,corinnestokes,9,543.395165598751
357,onetin84,8,454.0248273526671
515,uberbrady,8,388.7756036613865
77,charles1,8,505.2519538032848
142,dwinblood,8,583.6928420449487
200,gulshannsaini,8,421.42084104683374
69,buildteam,8,505.48779548680716
212,highimpactflix,8,539.8429447971456
279,kyriacos,8,568.0009477369447
51,biophil,8,534.6916484932239
310,matthewdavid,7,375.66192815690215
211,heymattsokol,7,474.3966927125751
259,karenb54,7,486.58931105404884
313,mejustandrew,6,311.5468330920412
450,stealthtrader,6,402.4075021339539
224,infovore,6,432.76806442638576
506,tipu,6,362.2333417952103
240,jerrybanfield,6,438.72623714997775
472,stevenalexander,6,345.0739933933319
311,maxtill94,6,150.0
226,intelliguy,6,401.60211230970583
463,steemsports,6,471.08350189427307
9,aggroed,5,362.98230644475336
326,mooncryption,5,312.7511091453726
309,mattclarke,5,331.4028625102815
480,surfermarly,5,358.2340295488724
120,demotruk,5,329.05301413403924
98,cryptokeepr,5,296.54978067948065
449,stackin,5,343.4856293131444
445,someguy123,5,339.39527538324853
389,rainelemental,5,231.72566104688372
537,xeroc,5,353.06517718616084
138,drpuffnstuff,4,238.70415068776322
432,sethlinson,4,257.9819202154211
140,dutch,4,244.14713534707727
159,ewuoso,4,243.3160187484968
442,sminchow,4,186.5807739360775
261,karlin,4,238.7640376017349
210,hermitthewriter,4,175.86387065249198
264,keiserreport,4,261.34675352201805
39,ashaman,4,227.9196231519373
365,papa-pepper,4,308.96317285578493
232,jalvey,4,192.9269865355697
391,raydiant-acres,4,167.8713262029745
368,pathforger,4,226.31945099228545
256,kafkanarchy84,4,295.4650495603063
130,dragonanarchist,4,259.56413559435435
458,steemiteducation,4,249.91049021623076
316,mikepm74,4,248.89327477123726
348,noganoo,4,100.0
65,bryan-imhoff,4,242.9996782532993
190,goldgoatsnguns,4,235.21323246098336
462,steemreports,3,192.35931195607205
131,dragosroua,3,218.9913398153515
132,drakos,3,189.24569363339984
115,daydreams4rock,3,179.5949141394762
531,winstonwolfe,3,211.43254486704765
538,yoda1917,3,164.92406472340917
456,steemitboard,3,180.2136988193747
168,fitzgibbon,3,174.36877170118217
273,knircky,3,195.772811451748
180,geke,3,190.87411737376985
12,aksounder,3,167.119929136959
265,kendewitt,3,167.70619762141922
201,gwiss,3,143.05772982179855
206,hardfork-series,3,193.9209963746738
341,naturalista,3,75.0
388,quinneaker,3,208.64456604619994
233,jameskanka,3,124.18344228656953
337,mynameisbrian,3,220.2532456172564
246,johnsmith,3,192.39329154558692
2,abh12345,3,198.96643802808438
364,orionschariot,3,171.33603916900273
0,aarcee,3,147.93009654911617
94,cryptocash,3,75.0
516,underground,3,165.9292281030997
27,andrewdaines,3,141.49782883940196
57,blueorgy,3,203.2291037593187
489,techwizardry,3,178.5152039929353
95,cryptoctopus,3,219.39489271002319
303,macksby,3,220.27284532009563
486,teamsteem,3,212.84296131082914
52,bitcoiner,3,194.9799653763443
300,luzcypher,3,219.74019514616433
31,anyx,3,204.66289360252227
528,whatsup,3,206.60075491477699
83,clayop,3,217.12704425261052
324,molometer,3,174.19834282719125
80,chitty,3,206.55763650180313
322,modprobe,3,203.41989416074682
508,traderdad,3,138.72535261044965
186,gniksivart,2,113.37584653958311
505,tinashe,2,117.2230373506178
73,caronellis,2,92.81312567466256
260,karencarrens,2,114.80777292340738
503,timcliff,2,145.0206921067425
196,gregvence,2,84.55519410628284
297,luisneira,2,107.92610524392083
419,saramiller,2,140.5799788795581
71,busy.org,2,134.23156580419607
262,katinababbie,2,50.0
421,sc-steemit,2,125.01086442485595
70,bullshark,2,95.21475330674582
68,builderofcastles,2,120.66683959542144
383,proteus,2,96.7824603627154
266,kenhudoy,2,119.17278519874446
263,kaylinart,2,148.00741000046787
424,scandinavianlife,2,130.50685369224294
268,kennyskitchen,2,134.37746642789907
308,matrixbot,2,50.0
199,gtg,2,130.0906475714201
189,goldenarms,2,127.17913712382943
23,an0nkn0wledge,2,127.61771223782208
203,halo,2,143.350271641166
540,zappl,2,131.67399787195507
32,arcange,2,138.0682133411467
3,aboutyourbiz,2,107.67044424940724
402,richq11,2,140.04519190180866
249,joshsigurdson,2,138.87685441896915
404,rival,2,128.22357552470208
227,intothewild,2,115.73310091680256
46,bekky,2,112.46025796404655
48,bien,2,124.82859038352893
223,infinitemedia,2,94.72330108031281
252,jringo,2,113.448141455827
408,roelandp,2,143.14376052919462
409,rok-sivante,2,145.52528636206557
49,bigskykilroy,2,102.07510187668962
214,hiroyamagishi,2,132.66308668139806
514,twofingersshort,2,93.87808717080424
30,antonburton,2,107.41346933648975
353,oendertuerk,2,126.84733069425238
56,bluelightbandit,2,115.65162049516826
209,heimindanger,2,131.2782504819815
