,authorName,count,reputation
899,netuoso,917,62611.09009338309
1118,sammosk,109,7293.810404139924
545,igster,92,5569.128640037853
483,gmuxx,82,5241.906962493699
866,msp-creativebot,73,4537.709261703273
97,arcange,64,4418.186613583884
61,amikphoto,58,3325.0620927680843
619,jonbit,57,3496.668289901355
566,isaria,55,3507.60695073393
18,adviser,51,2788.039572423289
349,duckmast3r,51,2923.2531902042633
1193,sonu,51,2769.4570709425084
145,bhmcintosh,51,2574.128112054918
108,aser1111,50,2498.188466664514
23,aggroed,50,3629.940325072964
1302,thegoodquote,49,2654.861684611867
1264,suruchita,49,2519.1417535685555
1127,sarcastic,49,2476.8332244160692
42,alexandruionescu,48,2580.737276988746
1040,rayhand2k,48,2431.5722795425145
1036,randyw,48,2813.756670037429
879,mykos,47,2860.696479572338
878,mxzn,45,2821.9464570322743
56,am24it,45,2385.6503428939145
432,foody,45,2383.5537693093524
196,byronviljoen,44,2466.8365821562006
1212,staticinstance,44,2601.302491016737
1279,tarakki,44,2336.7833485726205
1250,suggeelson,44,2769.2408617530464
702,ksolymosi,43,2618.4440092052005
255,craigcryptoking,43,2489.172549617652
898,nettybot,42,1834.1097881586825
6,acidyo,42,3121.8821900161897
1112,sam99,42,2457.871319692936
789,martinio6,41,2413.4015937003123
305,dayleeo,41,2414.1196841336186
68,andarina003,40,1000.0
514,hasan019,40,2028.1406433785623
813,melissa-mccarthy,39,2100.8252727617532
80,anjana77,39,2154.5729695854693
1194,sonu084,39,2032.7404944646025
1105,sahil07,39,2044.4882456992361
139,benilda,39,2039.8798027000735
1321,thomas10,39,2053.5908749027376
295,darega03,39,1896.782237160168
839,mkbhd,39,1938.280421448145
798,mattuk,39,2110.9210235581145
57,aman433,38,1916.3261479517414
1464,zord189,38,2188.389323869897
1078,ronak10,38,2025.897776448424
1295,thauerbyi,37,1957.960143344388
64,amjad11,37,1901.6882472994869
1438,yandot,37,2297.7393732794962
213,cejero021,36,1973.3195707403897
1357,twoitguys,36,1929.039811650758
676,kingscrown,36,2733.398293393515
199,caab,35,2138.009058524363
901,nickfost,34,1948.1048438966054
261,cristano-ronaldo,34,1715.238130991645
318,dickturpin,33,1813.2988066999412
1463,zonguin,33,1894.7933230176184
450,funkie68,33,2016.0755041360778
1307,themanualbot,33,2168.9784572709345
1270,swelker101,32,1912.0935288440005
567,ishaq,32,1635.6527305015443
1122,sanjanalove,30,1440.989512415342
116,aymenz,30,1885.4040688676632
350,dune69,30,1704.7211290979726
1306,thelifestyler,29,1181.3150420775103
383,enm,29,1459.1054147986
330,doc.hodes,29,1508.0936279113203
102,arooj,29,1549.4013743203373
928,oendertuerk,29,1839.4972737613045
161,blocknload,29,1625.8852819781487
1287,technicalside,29,1493.404419450728
652,kalinka,29,1697.6177507484133
970,paulag,29,1871.311267102692
1106,sahitya,29,1453.6886551106932
442,fredy12345,29,1385.7954783397877
1191,soniya,28,1329.9256262816195
638,juanpimentel,28,1361.3755804016364
1207,spoylerbg,28,1532.8378130744104
695,krisii,28,1614.5958439420592
431,followbtcnews,28,1801.3256920928393
598,jeevesix,28,1470.0371911573714
62,amimohan,28,1524.5965381328347
760,mahdiyari,27,1644.6897151154922
736,lost108,27,1516.2290047190909
286,damdady,27,1280.0048924754506
342,drakos,27,1703.465140321887
701,ks2000,27,1344.1294739065188
374,emito,26,1482.9242140020126
1094,rumaisanofal,26,1148.7039216578075
528,hichemfetoui,26,1409.0560899282593
429,fnews,26,1233.8209119836288
362,ekushya,26,1299.32957265155
333,dollarman,26,1288.382355732964
243,click3rs,25,1325.5050516518775
1175,sk9708,25,1177.8502276887657
1022,qamarjee,25,1162.0999300160129
1198,sp7693,25,1192.6413124666524
1392,visar,25,1119.2306071906391
1010,princeso,25,1339.658073175778
1251,suheri,25,1298.066332990804
551,imransoudagar,24,1245.4715232642134
420,firasbc,24,1168.3370551177022
883,nabilanazir,24,1119.0914928766433
378,emrebeyler,24,1474.0250593852788
38,akg377968,23,1080.9236282967934
1308,themarkymark,23,1481.5204680048578
340,dragon40,23,1367.1741873650126
622,jorlenbolivar,23,1453.8130117556123
