,authorName,count,reputation
2683,bleujay,946,63502.68954597858
8512,homeartpictures,789,57052.3213920637
10997,knozaki2015,670,52099.69974553589
8588,hrsagar,585,36978.71298371136
6454,evildeathcore,550,37387.64436321819
9844,jlufer,527,38457.558244987275
15160,papa-pepper,517,39933.5766204766
151,ace108,481,34784.81092255817
14664,oaldamster,478,32322.121389239706
12884,meesterboom,474,34530.08991799283
20921,uwelang,436,30896.481124862778
2382,bescouted,422,26216.84804655398
9462,jasonrussell,413,27264.411159629435
177,acidyo,411,30549.84710589053
6997,foxkoit,405,25277.4986929222
4383,cryptopie,383,26301.769309684845
21052,velimir,366,26026.310505985137
22201,zeartul,362,25122.10228315132
19593,tattoodjay,339,20975.073088709323
17126,rynow,338,23353.299087470852
17380,sandstorm,337,21857.121520125744
6330,ervin-lemark,336,22895.333250730328
8029,halo,320,22936.09636958421
19563,tarazkp,318,22158.081408201906
18993,steevc,318,22406.64938579379
18585,sportsncoffee,318,22704.010213312096
5122,detlev,314,19786.954297608347
18244,slowwalker,310,22667.410088042525
17339,samstonehill,309,21996.273385250868
11582,lichtblick,309,21608.196336766166
7526,getvotes,300,7500.0
18363,sokal,294,18767.11097291043
7869,gringalicious,292,21649.43035561543
3661,chinadaily,292,21839.966115193554
10867,kinakomochi,291,18757.29875105635
6597,fakj94,282,17630.589056743556
11473,lenatramper,271,17696.778046842555
10747,keuudeip,265,18547.908410037202
6495,exyle,264,19193.06341343873
9592,jeezzle,261,16771.579491993885
18138,sirwinchester,260,19550.192502895057
15629,playfulfoodie,259,17533.855817629083
6480,exploretraveler,257,18520.932311864628
18619,ssekulji,256,17406.374996740153
14682,ocrdu,251,17846.629866028048
21223,virtualgrowth,248,17629.291885491144
7221,future24,247,17625.32276274905
17930,shieha,247,17416.929137548042
4478,curiesea,246,16478.092058453694
15431,pharesim,246,16935.135278887512
18763,steemdice1,246,16652.165789660838
2025,b0y2k,242,17619.89856726912
4911,deadspace,240,15677.347711526334
3991,condra,236,15819.190817314991
3152,buzzbeergeek,236,16482.3847667343
11067,kouhei-gahaku,233,15317.920246932941
21078,verbal-d,233,16353.896452417619
17885,shayne,233,15669.036470934632
10764,kevinwong,232,17402.32413570495
1452,arbitrarykitten,229,14818.89607856607
19040,stephenkendal,229,16855.52635907996
10245,juanmiguelsalas,228,15614.09059890696
1946,axeman,225,12592.489140349888
17879,shawnamawna,224,14224.999457378262
21834,yaanivapeji,223,12956.294813350514
1457,arcange,222,15325.584815869097
14218,nenio,221,13470.128712520105
17513,sauravrungta,221,16391.559619394702
10429,kafkanarchy84,220,16250.577840093363
9737,jgcastrillo19,218,15264.183234921877
14677,ocd,217,15195.83572966022
5057,denmarkguy,216,14847.68359779046
14820,oluwoleolaide,216,13978.254612169012
16316,raymondspeaks,213,13922.653941984348
2672,blazing,212,13175.360967450422
12036,lukestokes,207,15078.93779274115
22013,yoshiko,206,13318.43166127226
11235,kyriacos,206,14626.933432270958
18752,steemcleaners,204,15533.404540674432
14033,nano2nd,202,12843.62552993878
3106,bullionstackers,201,14110.795009240253
18055,silviabeneforti,200,13734.068926724762
