,authorName,count,reputation
2358,nano2nd,409,26005.162582895842
1270,german-trail,363,23288.83332151925
2601,photo-trail,321,20995.17655426978
3090,spanish-trail,309,20228.066660074397
1163,food-trail,275,16779.55962553516
3153,steemisbeautiful,258,15953.355731141795
3343,technology-trail,241,14835.658270854296
3558,unmean-stweets,219,14581.650783294732
1235,gaming-trail,191,12534.65926364516
519,business-trail,171,10692.043376014864
1869,knozaki2015,136,10575.462746372588
3197,steemsports,133,10442.377852692674
2522,ozchartart,117,8895.3673080862
2599,philosophy-trail,110,6938.261076626594
3025,sirwinchester,106,7970.463097334138
1981,life-trail,99,5780.454747950191
3394,thecryptofiend,96,7161.159052137789
1894,krnel,88,6730.829596552943
913,doitvoluntarily,85,6425.762762114405
1130,fiction-trail,83,5153.506793467266
2542,papa-pepper,81,6256.517807076603
2076,luzcypher,75,5493.507180482123
1839,kevinwong,75,5625.751336973582
3540,tygergamer,75,5327.328663577594
3137,steemcleaners,72,5482.385639328911
105,alexbeyman,71,5241.793541061528
1808,kaylinart,70,5180.260324279599
2500,opheliafu,69,5162.363632698095
2925,sauravrungta,63,4672.707040822925
990,edgarsart,62,4390.963420927872
765,curie,60,4516.579861247985
1250,gavvet,59,4558.248734424868
1430,homeartpictures,59,4266.27026880032
3292,sweetsssj,58,4372.355488084113
819,daveks,58,4157.967967447458
2137,marius19,56,4090.6752713172873
1058,ericvancewalton,56,4224.902325756464
2380,nature-trail,56,3254.601727801137
3506,travel-trail,53,3222.8455310690583
3465,timsaid,52,3792.451970613015
58,afro-naija-trail,50,2894.446799636249
3459,timcliff,48,3480.603720179894
1995,lily-da-vine,48,3484.6981256175304
966,dwinblood,48,3502.158314794758
1866,klye,47,3399.052265347973
2087,macksby,46,3377.5174428294017
530,calaber24p,45,3324.2569115436413
283,ats-david,43,3179.168404264127
1979,lichtblick,42,2937.036397956749
2468,officialfuzzy,41,3048.6353584533076
1415,hilarski,41,3021.547959821959
2302,moon32walker,41,2893.5670740462588
449,bola,40,2692.0946483881053
1663,jlufer,39,2846.0053407042396
1090,exploretraveler,38,2738.5036103146144
2441,norbu,37,2597.049838170564
693,contentjunkie,37,2597.867412612807
2161,masteryoda,36,2558.650683660012
3216,stellabelle,36,2716.588237143451
