,authorName,count,reputation
699,halo,332,23796.145092433555
966,knozaki2015,247,19206.685098000828
650,gavvet,241,18618.66602945618
1612,sirwinchester,178,13384.362559674308
1721,steemsports,178,13975.464754050636
1116,marius19,174,12710.187826399482
1810,terrycraft,147,10596.258716968689
1342,opheliafu,123,9202.471993727824
1574,serejandmyself,121,8566.683864925199
1628,smooth,97,6611.922021599412
705,hanshotfirst,92,6796.638043711584
890,jpiper20,90,6095.75702719874
553,ericvancewalton,83,6261.907837780249
1127,masteryoda,82,5828.037668336693
1830,thecryptofiend,80,5967.632543448158
263,bridgetbunchy,79,5598.979580385374
375,crazymumzysa,66,4644.456957288837
500,dragonslayer109,64,4625.717787838823
483,dollarvigilante,64,4783.473742461691
281,calaber24p,63,4653.959129083231
18,acidyo,62,4608.371379108982
258,bravenewcoin,62,4315.924026064468
312,charlieshrem,54,3883.8768500504207
1087,macksby,54,3964.9112157617215
805,jacor,52,3677.162529103327
928,katecloud,43,2906.99193046597
1061,lordvader,41,2842.950822255713
1366,papa-pepper,41,3166.870741545516
961,klye,39,2820.49017190406
891,jrcornel,38,2876.3939525156
184,barrycooper,37,2495.6911941008907
633,future24,36,2568.8643896015033
1310,norbu,34,2386.478229670248
775,infovore,33,2380.224354345122
461,deviedev,32,2139.1786363733995
1455,razvanelulmarin,32,2241.512703304768
1552,sauravrungta,31,2299.268322510916
1154,merej99,30,2092.2791041977116
1967,williambanks,30,2088.416247182932
521,edgarsart,30,2124.6485439437583
992,l0k1,29,2023.9487083277809
1387,pfunk,28,2031.917632489667
1356,ozchartart,28,2128.8058515078087
578,fairytalelife,26,1800.8008493576324
546,eneismijmich,26,1813.797761886396
1562,screenname,25,1674.7350397401733
1381,perspective,25,1710.3223520663803
302,celebr1ty,25,1651.8704965332404
163,ausbitbank,24,1730.3675201656
1781,sykochica,24,1687.0226640355345
59,alexgr,24,1606.429531930852
541,elyaque,23,1617.9592170556134
1734,stellabelle,23,1735.5963313387006
954,kiddarko,22,1493.739772156798
1859,timcliff,22,1595.2276131741676
1190,mindhunter,22,1601.1499268546459
1014,lemouth,22,1515.5821826056208
432,daut44,22,1398.213426794746
905,justtryme90,20,1407.3312934589878
567,everittdmickey,20,1451.1315056639755
390,cryptogee,20,1448.8478090128285
950,kevinwong,20,1500.200072186335
362,contentjunkie,20,1403.496805799474
177,bacchist,20,1386.8034071558122
1074,lukestokes,19,1383.976031653978
814,jamielefay,19,1269.095545724464
185,barrydutton,19,1407.2868329437279
1758,streetstyle,18,1236.3267023538363
482,doitvoluntarily,18,1360.749731519954
1547,saramiller,18,1265.2198099160228
420,dantheman,18,1322.7067899340605
977,krishtopa,18,1208.8729619716014
689,gringalicious,18,1334.4909971720047
1146,meesterboom,18,1311.2677110419504
730,hilarski,18,1326.5330725539561
1597,shortcut,18,1255.8559028347968
488,donkeypong,18,1323.8563372856254
1486,richman,17,1198.3831369103912
107,anotherjoe,17,1129.0279631758208
453,dennygalindo,17,1009.6202715518209
1041,liondani,17,1158.9018703022027
1170,michelle.gent,17,1263.5576290377835
154,ats-david,17,1256.8805319183757
1769,surfermarly,17,1217.9957004661662
68,allmonitors,17,1193.7845883159794
1862,timsaid,16,1166.9080111988847
1054,logic,16,1077.496911380909
924,karenmckersie,16,1117.6418977578537
1282,neilstrauss,15,1009.0576188886338
87,anca3drandom,15,1022.8061527431087
1512,royalmacro,15,1035.8967121858861
499,dragonho,15,988.4914790869924
397,cryptos,15,1004.5604961378933
1274,natureofbeing,15,1032.4478506935145
400,curie,15,1129.1449653119962
862,jlufer,15,1094.6034130867654
635,fyrstikken,15,1103.6201157256692
978,krnel,14,1070.8137994516046
341,clayop,14,1013.2559711536626
1185,mikkolyytinen,14,932.7560362853036
887,joseph,14,1026.92356961753
733,hisnameisolllie,13,892.2530406890629
1133,matrixdweller,13,325.0
661,giantbear,13,905.4192136422314
14,ace108,13,940.0899731274125
1891,tuck-fheman,13,964.8226833887744
773,inertia,13,918.4940511829572
658,getonthetrain,13,898.8728867507227
1936,virtualgrowth,13,924.1160635755925
1961,whatsup,13,895.2697762332134
937,kaylinart,13,962.0481650030412
114,anwenbaumeister,13,928.2875335053
515,dwinblood,13,948.5008683230417
632,furion,13,916.3842877373377
631,funnyman,13,900.7736399776337
106,anonymint,13,828.2314696122769
577,faded-gravity,13,784.3717100426982
1802,techslut,13,834.4222775648269
368,countrygirl,12,780.7493264818747
373,craigwilliamz,12,541.1647982896168
1341,ontofractal,12,809.1318081244265
172,awit,12,743.6994090125447
803,jacobcards,12,803.5423932595861
190,beanz,12,820.5787169339981
851,jesta,12,849.9529504203999
227,bkkshadow,12,848.6093604145921
1497,rmach,12,803.0032225827782
1754,storyseeker,12,784.8228326539797
1008,leahmchenry,12,754.9673916061045
1509,rossenpavlov,12,827.6581612892556
1850,thisisbenbrick,12,818.9290554749108
594,firepower,12,846.3340466771217
30,aggroed,12,871.1573647923263
1814,the-alien,12,876.6331855563446
1737,stephenkendal,12,883.2253910822051
414,dana-edwards,12,884.8243382767936
2000,yanik,12,717.8904530482254
717,heiditravels,11,795.8739824195818
1249,mynameisbrian,11,807.5952339299402
1121,markrmorrisjr,11,774.2855047769913
838,jenkinrocket,11,707.8084218165338
1602,sigmajin,11,725.8983331304934
1409,poeticsnake,11,752.4789897106681
