,authorName,count,reputation
1867,someguy123,148,10046.100151344157
198,barrydutton,115,8517.788725712036
1527,papa-pepper,112,8650.963992997657
2023,tarazkp,95,6618.984295583493
1112,kingscrown,90,6833.161945083634
1255,malicered,84,5084.447251932138
1963,stephenkendal,79,5814.56715795785
1119,klye,70,5062.418257263697
1137,krnel,69,5277.582297297195
34,aggroed,66,4791.365506357795
2194,vegansilverstack,64,3991.486255069526
1489,olegst,63,4020.0151819190114
1089,kaylinart,56,4144.2074800131
277,brianphobos,54,3637.028834191236
2032,teamsteem,54,3831.173303594924
984,jerrybanfield,53,3875.4150858620474
805,gringalicious,52,3855.196214052458
175,ausbitbank,51,3677.0309803519
635,exhige,49,2799.8042520059143
2106,timcliff,47,3407.9862645084486
492,denmarkguy,46,3161.9957733820092
639,exyle,45,3270.9791882921168
1232,lukestokes,45,3277.83796970679
1440,neoxian,45,3069.7532151789937
2228,webdeals,40,2729.6253835554876
1063,kafkanarchy84,40,2954.6504923874045
1949,steemsports,39,3062.04003436117
988,jesta,39,2762.3470888662996
1961,stellabelle,38,2867.506982211766
1643,raymondspeaks,37,2418.4885608340533
2068,thecryptofiend,37,2760.030051344773
1861,soi-green,35,2010.9266510068123
720,fubar-bdhr,35,2349.318513509966
251,blockchained,34,2231.3655974241574
2218,wakeupnd,34,2263.7674868109198
1166,lauralemons,34,2316.7502164129924
1906,steemcleaners,34,2588.843813092501
191,b0y2k,34,2475.334066442361
2008,sykochica,33,2319.65616304886
1130,kouhei-gahaku,33,2169.488061777593
707,freebornangel,33,2155.69902633903
1615,quinneaker,32,2225.542037826133
72,allasyummyfood,32,2311.317476434925
1837,sirlunchthehost,32,2270.70422073976
344,cheetah,32,2323.900920183589
846,heretickitten,32,2061.4655663965873
559,drpuffnstuff,31,1849.957167830165
1753,sandstorm,31,2010.3968126161244
747,gardenofeden,31,2245.4408769444344
2122,tonpa,31,1668.71938545388
907,inertia,30,2119.6016565760547
1706,rok-sivante,30,2182.879181246919
596,elyaque,30,2110.3815874638435
863,hitmeasap,28,1861.6947165374613
580,ehiboss,28,1844.1005109815644
2235,whatsup,28,1928.2733641946136
1851,smailer,28,1900.8799971096762
1037,jrcornel,27,2043.7535978400317
1110,kinakomochi,27,1740.3677212364958
1782,sean-king,27,1858.8537507243655
1745,sammosk,27,1806.567373010887
550,dragonslayer109,26,1879.1978513095219
47,akiyoshi,26,1529.3632401450297
