,authorName,count,reputation
4703,welcomebot,2951,150591.3578894096
4157,steemtrail,1984,146387.7409063345
4148,steemsports,1332,104580.8067653131
467,barrydutton,1332,98659.263407515
1765,halo,1311,93966.31981414031
4573,unmean-stweets,782,52067.81238601133
389,ash,595,42643.97242434252
3389,pinkfuzz,552,33394.894123224876
1373,elyaque,470,33062.644870266886
3832,scottybuckets,443,28464.28334560856
4025,spanish-trail,419,27428.99653906528
3081,nano2nd,377,23970.52883557881
4073,steemangel,372,21427.794028053748
4610,velimir,363,25813.014081701745
4150,steemsports-ita,351,20982.178506351855
4222,supermarioo,331,21864.236486124108
1980,instructor2121,289,19251.53856912491
1960,indiantraveller,275,16453.2596864562
1590,future24,272,19409.26231363458
1611,gardening-trail,251,16469.16390955669
4697,webdeals,243,16582.47420509959
3230,officialfuzzy,237,17622.599511059365
40,acidyo,237,17616.335215091356
2210,joseph,225,16507.41081131714
2370,kingscrown,221,16780.028412221298
1607,gaming-trail,219,14372.200935802566
3374,photo-trail,210,13735.162231765276
1767,hammadakhtar,209,11652.878081079936
647,bravenewcoin,205,14270.393957148646
2404,knozaki2015,205,15940.955010530668
1248,dragon40,198,11769.586482533587
4162,steemvoter,195,14145.279322056916
941,craig-grant,192,14538.941746990851
4548,tygergamer,190,13495.899281063239
3946,sirwinchester,181,13609.94170393848
4206,suesa,181,12796.188202765868
4133,steemnews.online,180,11624.690024678224
4361,thecryptodrive,159,10316.472406172146
1182,dimarss,152,8574.195211660115
4507,travel-trail,143,8695.602093261798
1623,gavvet,140,10816.186049888442
4310,techblogger,135,8918.346576920414
4453,timsaid,129,9408.198230933096
2470,kyriacos,122,8662.552809403189
4647,virtualgrowth,122,8672.474233991612
2922,minnowsupport,119,8019.382670474827
2959,mokluc,115,7665.1214737937
3666,robinhoodwhale,114,7153.700517732505
2842,meesterboom,114,8304.70546183576
1013,curie,113,8506.225405350371
64,adsactly,113,8055.29231413237
3822,schattenjaeger,110,7700.643630986926
4328,terrycraft,107,7712.923011671086
711,buzzbeergeek,105,7333.264438384639
866,claudiop63,101,6683.988812144489
2444,krnel,99,7572.183296122061
1657,giantbear,99,6895.303388876449
2549,life-trail,99,5780.454747950191
3027,munawar1,93,4733.623344729665
697,bulleth,92,5940.554211093823
3263,ontofractal,89,6001.061506354666
693,buildawhale,85,5328.347097731808
3308,papa-pepper,83,6410.999728238989
2858,merej99,83,5788.639646327583
1404,ericvancewalton,83,6261.908804246187
3497,qurator,82,4963.171501418412
351,arie.steem,79,5085.649584314645
78,aggroed,78,5662.706907113824
3119,nelkeljdm,77,4155.435161735481
3414,poetry-trail,75,4478.790218986806
1527,food-trail,74,4515.2269537803695
3370,philosophy-trail,74,4667.5574515488
1531,foraging-trail,73,4420.35481088601
3856,serejandmyself,73,5168.329935037516
1557,freebornsociety,72,3719.3649234089044
2391,klye,72,5207.058789469235
3400,pivx,71,4102.682864837521
4391,themarkymark,70,4508.975337406089
3737,rynow,68,4698.2968578343725
4243,sweetsssj,68,5126.209882581374
4008,someguy123,65,4412.138579982231
1485,feekayo,61,3455.829633221745
2488,laonie,61,4041.3592059123303
4177,steve-walschot,60,4108.768724707777
1622,gavicrane,60,4010.1148310682643
437,azfix,59,3804.1376400285367
714,calaber24p,59,4358.470172912774
4660,voiceofreason,57,3639.1433139208193
4304,teamsteem,56,3973.068611135477
2041,jacor,55,3889.3065403614305
2921,minnowbooster,54,3630.909856527186
4583,uwelang,51,3614.045478110328
3082,nanzo-scoop,51,3677.2720262269613
1413,ervin-lemark,50,3407.043638501537
1700,good-karma,49,3645.7094354312544
2445,kryptik,49,3034.284363328648
4390,themagus,48,3247.872623873225
4308,tech-trends,48,3155.9686035770337
943,crazymumzysa,48,3377.786878028245
1251,dragonslayer109,47,3397.0115004441354
3611,rgeddes,46,3010.348578635383
995,cryptoiskey,46,2847.285432129081
2225,jrcornel,46,3481.9539534716223
3233,ogoowinner,46,2952.657856816047
1587,furion,45,3172.0994575523227
2228,jsantana,45,3132.3546125068115
1216,doitvoluntarily,44,3326.2771945062805
1801,haydeart,44,2278.22110087038
3574,reconnectnature,44,2713.225483770814
1218,dollarvigilante,44,3289.151474295806
3900,shieha,43,3032.0971690189112
4248,sykochica,43,3022.5907167534842
4793,xxsenpaixsamaxx,43,2964.1112151522916
663,bridgetbunchy,42,2976.6726883061483
1594,fyrstikken,41,3016.5616496501625
1502,fiction-trail,40,2483.6177317914535
953,cristi,40,2823.2514290394197
314,anwenbaumeister,39,2784.862646304362
444,bacchist,38,2634.9264735960433
4485,tonesquare,38,2378.5651551881692
1449,exploretraveler,38,2738.5036103146144
3129,neonartist,37,2253.7633723597355
3812,sauravrungta,37,2744.2882620706064
4120,steemitrecipes,37,2335.4181213391607
2315,kb720k,37,2457.9577125488436
2584,literature-trail,37,2361.118461426853
869,clayop,36,2606.3823493165305
1386,eneismijmich,36,2511.412285688856
1858,hilarski,36,2653.0665013070857
292,annieb,35,1909.952755492817
2758,marialin,35,2225.5992581849423
4087,steemdrive,35,2258.8987037805205
2804,masteryoda,35,2487.5770535583447
1966,infovore,34,2452.352365082853
3585,reggaemuffin,34,2084.453680408106
593,bleujay,34,2282.337679242359
540,better,33,2071.2687571929378
2658,luzcypher,33,2417.143159412134
1689,godknows,33,2145.1642905533026
1230,donkeypong,32,2353.5239830723312
804,charlieshrem,32,2301.556651881731
2589,littlestar,32,2099.0598562024534
