,authorName,count,reputation
5119,rymlen,904,57505.04303519732
6440,wilkinshui,721,47981.748458986905
3095,kafkanarchy84,708,52297.314139936825
2168,gauravchugh,571,31703.528627486026
1610,doitvoluntarily,514,38856.96540855064
3320,krnel,478,36560.64258127622
1551,digital-gypsy,427,25426.496515069677
1656,dragosroua,378,27594.255342949094
5766,superkrish,370,19104.20854693678
5858,taufar,366,20918.0729034641
4383,numpypython,358,21520.098700925064
3618,luzcypher,342,25050.39274299848
6078,tj4real,338,21105.610384146665
2080,freedomnation,322,18387.90566830829
2532,htliao,311,21682.509476462943
193,alexbeyman,289,21336.314554461715
2045,forjayfortune,287,14248.469798045127
2809,jatinarora,279,14983.143590854954
6510,xpoze,261,13066.589110305502
5667,steemsports,260,20413.670746790434
1615,dollarvigilante,253,18912.544124570883
5867,team101,249,14771.684826543391
1576,discreetsaint,248,12036.643390663234
4177,mynameisbrian,234,17179.753158146
2589,ijoel,233,13586.831663705496
6291,vangelov,229,13867.324100860838
4128,muktichugh,228,12026.092353022377
5248,sauravrungta,221,16391.559619394702
3492,lily-da-vine,215,15608.543687661855
5543,speedygonzales,215,11826.862340957872
2322,gyanibilli,207,12201.619954387788
2051,foways,196,11216.189023396868
2319,guyverckw,188,12694.806909533774
5604,steemcleaners,185,14086.66588124733
2465,hilarski,183,13486.421039165358
3621,lydon.sipe,183,12310.135080057926
5574,starflyer-9000,182,10137.590949654124
4570,penguinpablo,181,13008.57175633049
1095,chl,180,10504.083355836538
1833,erickjongo,176,9591.969889376016
5187,samstonehill,174,12386.251015966922
2457,hicmaster,174,9119.344778146904
6329,victorier,174,11272.395698928785
3199,khairul5577,172,9520.55542934857
6394,walcot,172,9151.205633891013
4533,papa-pepper,172,13285.445219965133
1117,chrisx,171,9357.493876341923
3187,keuudeip,169,11828.666118099196
6071,tinmyoaung,169,9566.284388759692
3503,linuslee0216,167,11314.361892882265
6075,tinytaruen,163,7016.0277086034985
291,amranamrozi,162,8797.808896914432
6592,yuclino,162,8223.731587856815
6308,velimir,159,11306.511286851603
3177,kenchung,157,9914.99504443003
1239,creativecomma,156,7235.168984698038
4388,nurlis031293,154,8433.681963579862
3606,lukestokes,154,11218.146956918537
5877,techicrypto,152,3800.0
5963,thecryptofiend,148,11040.120205379091
1004,caspady,147,6917.018990063691
4692,pressfortruth,146,10350.967388669802
6254,ura-soul,143,9785.969349350984
1947,fataelrumy,141,8308.881851291659
254,alphacore,139,8080.493589064014
1323,curiesea,138,9243.80774010817
2255,good-karma,131,9746.643873198433
5048,rok-sivante,131,9532.049846669137
5678,steemvest17,129,8820.257442605998
892,britt.the.ish,128,7045.912893150411
2173,gaybeeoh,127,6531.162985236358
4959,richq11,127,8893.002844089206
1697,dwinblood,121,8828.35741854512
6315,verbal-d,121,8492.796011770522
6615,yuvi,120,5142.929016946486
3247,kingscrown,117,8883.54204001855
4522,pakyeechan,117,7421.406573359991
3695,manisha,117,5998.287675620346
5761,sunnythakur9,116,5674.935115531797
5577,starttheart,116,7847.847956730828
2162,gardenofeden,115,8329.86503773577
4818,rangertx,115,6413.041784784659
5120,rynow,115,7945.64909780813
1752,ejhaasteem,114,7822.611854748977
3607,lukewearechange,113,8023.586518114282
6293,vantyner,112,5855.516180583687
4176,mykos,111,6756.043876894174
4762,quinneaker,108,7512.067862902154
1244,creatr,108,7533.402173802666
604,b0y2k,107,7790.616308668577
3277,knozaki2015,107,8320.39980239476
294,amristeem,107,5410.73754867962
3019,jrcornel,107,8099.3275139706575
2320,gwin,105,5037.1330874334
787,blackmagic,105,5456.4861772215145
422,apasteem,104,5516.906153159077
3348,kus-knee,104,7497.871005948802
3354,kwakumax,104,5772.45132329174
5679,steemvoter,104,7544.148971763689
3261,kitcat,103,6764.434799693296
6551,yesfa,103,5065.598212045502
850,boxcarblue,103,7176.349829349363
5701,sterlinluxan,103,6995.439140354993
4120,muhammadsabil,100,4724.613738136666
1751,ejemai,100,6765.807211535046
540,ats-david,98,7245.546595764754
307,anahilarski,98,6917.283342803126
1071,cheetah,97,7045.240461771126
1369,damla,96,5786.968706373305
1480,deepti,95,4747.826403300503
5775,susanlo,95,6032.774974699252
737,billybrujo,94,5250.684735950883
554,ausbitbank,93,6705.400314942126
6077,titusfrost,92,6460.684655746945
6609,yusaymon,92,5714.593171412484
6580,yoshiko,91,5883.38467589858
3089,jznsamuel,91,5699.19390971715
4423,okutavio,90,4938.445299420411
1449,dber,89,5768.950826895282
6042,thomaskikansha,88,5387.766208688554
407,anton-kostroma,88,5694.306506377126
2750,jackmiller,88,5320.226659295222
4813,randompic,88,2200.0
4173,myday,86,4971.2046861195995
4688,preacherofstorms,86,4450.56894634757
2938,joe28,86,4757.906169972094
5185,sammosk,86,5754.749493174619
55,acidyo,86,6392.425393747549
113,aggroed,86,6243.4973480799235
1268,crypto-booster,85,3675.7519407279906
4426,oldstone,84,6024.629566226131
5937,the-alien,83,6063.426327633865
1789,emancipatedhuman,83,5441.3782677217605
2026,flurgx,83,4858.8796041763035
3000,joshsigurdson,82,5694.465538646817
5275,scooter77,82,5176.659352446597
5969,thegame68,82,3982.881659787494
1127,churdtzu,82,5615.339491559039
2500,holycitycomedy,81,3610.437980490193
2245,gohba.handcrafts,81,5032.231222686917
3342,kumaran444,80,4120.610115858659
1012,catotune,80,4003.436261898856
1836,ericvancewalton,79,5960.130066692154
5461,slowwalker,79,5776.53281283307
1436,davidsoliman,79,1975.0
2940,joelfriedman68,79,3947.721746941553
2525,hotvines,79,4039.3140046191143
2363,happychau123,78,4085.4070632842695
1886,exhige,77,4399.790099122565
3625,lyndsaybowes,77,5170.9050043837915
3966,mirzacho,77,4394.904578164393
5525,soundlegion,76,5236.3338626240475
724,bigbear,76,4829.906619176978
1811,englishtchrivy,76,5421.453031942055
5726,strep61,76,1900.0
5329,shahzad200888,75,1875.0
67,adamkokesh,75,5063.621960961962
5501,sol25,74,4444.669814704864
5847,tarazkp,74,5156.092932627362
4686,praveenkumar,74,1850.0
3836,meesterboom,73,5317.925240534761
6474,world-travel-pro,73,4538.785207715944
3056,junaidfarooq,72,3275.593544720128
2021,floridanow,72,4012.3515304347484
947,buzzbeergeek,72,5028.524166122329
2213,giantbear,71,4945.116571820484
3743,markrmorrisjr,71,4997.660985378761
3617,luxurylifestyle,71,3982.7968520640825
745,binoddahal,70,3562.3844490412034
3237,kinakomochi,70,4512.0648750683495
4360,nolnocluap,69,4482.636419587589
2064,frankydoodle,69,3830.7039466133083
341,andrupetria,69,3453.4927656020677
937,burmik123,69,4188.137774699053
899,bruckdashel,69,3684.976062866783
5921,teukumukhlis,69,4756.583892790228
2988,joseph,68,4988.906351653153
2902,jimjam1210,68,4088.9261313134166
5308,sergiomendes,67,3772.0030954724125
1060,charlesx,67,4115.507880164564
2404,heiditravels,67,4847.596138314409
1150,clixmoney,66,3654.6100961155475
1309,cryptopie,66,4532.419776603655
5724,streetstyle,66,4533.287741768402
4096,mubarak,66,3445.7665250260015
6516,xxsenpaixsamaxx,66,4549.566051163983
1384,daniel.dalo,65,3794.8696469217457
5806,sylviamiller,64,3662.5678926601404
2464,highimpactflix,64,4318.758596857785
3042,julee,64,3746.393431310379
389,annsita,64,3361.8436480043574
312,anarchyhasnogods,64,4329.702808130546
4206,nanosesame,63,4006.3490598562253
4413,oflyhigh,62,4587.618912610094
100,afdhalmaulana,62,2988.8509260266374
1250,cristi,62,4376.038837166673
333,andrewgenaille,62,3754.823496888009
2118,funnyman,62,4296.069237309088
